Time,Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
CAP,Santos,G,5.41,0,0,0,0
CAP,Jandrei,G,10.29,0,0,0,0
CAP,Abner Vinicius,L,9.59,0,0,0,0
CAP,Jonathan,L,10.54,0,0,0,0
CAP,Khellven,L,4.52,0,0,0,0
CAP,Márcio Azevedo,L,5,0,0,0,0
CAP,Aguilar,Z,7.54,0,0,0,0
CAP,Lucas Halter,Z,2.97,0,0,0,0
CAP,Thiago Heleno,Z,4.81,0,0,0,0
CAP,Zé Ivaldo,Z,6.96,0,0,0,0
CAP,Christian,M,0.72,0,0,0,0
CAP,Erick,M,4,0,0,0,0
CAP,Fernando Canesin,M,1.44,0,0,0,0
CAP,Kawan,M,0.72,0,0,0,0
CAP,Léo Cittadini,M,13.72,0,0,0,0
CAP,Lucho González,M,4.93,0,0,0,0
CAP,Marquinhos Gabriel,M,3.91,0,0,0,0
CAP,Nikão,M,11.85,0,0,0,0
CAP,Richard,M,1.17,0,0,0,0
CAP,Wellington,M,2.83,0,0,0,0
CAP,Bissoli,A,3,0,0,0,0
CAP,Carlos Eduardo,A,4.81,0,0,0,0
CAP,Geuvânio,A,4.01,0,0,0,0
CAP,Jajá,A,1,0,0,0,0
CAP,Pedrinho,A,2.78,0,0,0,0
CAP,Vinicius Mingotti,A,7.14,0,0,0,0
CAP,Vitinho,A,15.28,0,0,0,0
ACG,Jean,G,6.85,0,0,0,0
ACG,Mauricio Kozlinski,G,4,0,0,0,0
ACG,Dudu,L,1.6,0,0,0,0
ACG,Nicolas,L,6.38,0,0,0,0
ACG,Éder,Z,3.9,0,0,0,0
ACG,Gilvan,Z,5.16,0,0,0,0
ACG,João Victor,Z,2,0,0,0,0
ACG,Oliveira,Z,4,0,0,0,0
ACG,Edson,M,7.02,0,0,0,0
ACG,Everton Felipe,M,4.25,0,0,0,0
ACG,Gustavo Ferrareis,M,10.08,0,0,0,0
ACG,Jorginho,M,11.11,0,0,0,0
ACG,Marlon Freitas,M,6.02,0,0,0,0
ACG,Matheus Frizzo,M,2,0,0,0,0
ACG,Matheus Vargas,M,2.93,0,0,0,0
ACG,Matheuzinho,M,3.63,0,0,0,0
ACG,Moacir,M,2.44,0,0,0,0
ACG,Vaca,M,3,0,0,0,0
ACG,Willian Maranhão,M,3.17,0,0,0,0
ACG,Chico,A,2.25,0,0,0,0
ACG,Hyuri,A,7.21,0,0,0,0
ACG,Júnior Brandão,A,2.56,0,0,0,0
ACG,Renato Kayzer,A,4,0,0,0,0
ACG,Vitor,A,1.26,0,0,0,0
CAM,Rafael,G,9.79,0,0,0,0
CAM,Fábio Santos,L,5.89,0,0,0,0
CAM,Guga,L,13.18,0,0,0,0
CAM,Guilherme Arana,L,17.18,0,0,0,0
CAM,Maílton,L,2.97,0,0,0,0
CAM,Mariano,L,8.17,0,0,0,0
CAM,Bueno,Z,8.99,0,0,0,0
CAM,Gabriel,Z,7.83,0,0,0,0
CAM,Igor Rabello,Z,13.99,0,0,0,0
CAM,Júnior Alonso,Z,10.9,0,0,0,0
CAM,Réver,Z,8.12,0,0,0,0
CAM,Allan,M,7.78,0,0,0,0
CAM,Franco,M,3.27,0,0,0,0
CAM,Hyoran,M,13.25,0,0,0,0
CAM,Jair,M,7.29,0,0,0,0
CAM,Léo Sena,M,6.21,0,0,0,0
CAM,Nathan,M,10.94,0,0,0,0
CAM,Otero,M,14,0,0,0,0
CAM,Bruno Silva,A,1.95,0,0,0,0
CAM,Keno,A,9.63,0,0,0,0
CAM,Marquinhos,A,5.31,0,0,0,0
CAM,Marrony,A,11.81,0,0,0,0
CAM,Savarino,A,4.86,0,0,0,0
BAH,Anderson,G,2.58,0,0,0,0
BAH,Douglas Friedrich,G,9.99,0,0,0,0
BAH,João Pedro,L,4.26,0,0,0,0
BAH,Juninho Capixaba,L,8.51,0,0,0,0
BAH,Nino Paraíba,L,9.39,0,0,0,0
BAH,Zeca,L,4.61,0,0,0,0
BAH,Ernando,Z,6.48,0,0,0,0
BAH,Juninho,Z,8.51,0,0,0,0
BAH,Lucas Fonseca,Z,6,0,0,0,0
BAH,Alesson,M,1.32,0,0,0,0
BAH,Daniel,M,3.54,0,0,0,0
BAH,Elton,M,3.72,0,0,0,0
BAH,Flávio,M,7.14,0,0,0,0
BAH,Gregore,M,7.89,0,0,0,0
BAH,Jadson,M,3.25,0,0,0,0
BAH,Marco Antônio,M,2.17,0,0,0,0
BAH,Rodriguinho,M,15.36,0,0,0,0
BAH,Ronaldo,M,2.3,0,0,0,0
BAH,Clayson,A,5.08,0,0,0,0
BAH,Élber,A,9.8,0,0,0,0
BAH,Fernandão,A,6,0,0,0,0
BAH,Gilberto,A,7.06,0,0,0,0
BAH,Rossi,A,6.65,0,0,0,0
BAH,Saldanha,A,1.04,0,0,0,0
BOT,Diego Cavalieri,G,7,0,0,0,0
BOT,Gatito Fernández,G,14.16,0,0,0,0
BOT,Barrandeguy,L,2.88,0,0,0,0
BOT,Danilo Barcelos,L,3.06,0,0,0,0
BOT,Fernando,L,2.55,0,0,0,0
BOT,Guilherme Santos,L,7.96,0,0,0,0
BOT,Kevin,L,2.48,0,0,0,0
