Jogador,1,2,3,4
Santos,0,-2.8,5.8,-3.1
Jandrei,8.2,0,0,0
Abner Vinicius,7.2,2.9,9.1,-0.5
Jonathan,9.8,-1.8,0.9,0
Khellven,5,0,0.9,-2.2
Márcio Azevedo,0,0,0,0
Aguilar,5.4,0,0,0
Lucas Halter,0,2.5,-0.2,-0.8
Thiago Heleno,0,-0.4,1.3,-2.4
Zé Ivaldo,5.6,0,0,0
Christian,-3.5,0,0,0
Erick,0,0,0,0
Fernando Canesin,0.6,0.001,0,-1.2
Kawan,-2.6,0,0,0
Léo Cittadini,9.8,6,1.9,1.8
Lucho González,0.8,0,0,0
Marquinhos Gabriel,0,0.5,1.3,1.5
Nikão,3.5,3.5,2.4,0.5
Richard,-0.5,0.5,-3.6,0.2
Wellington,0,0.7,0.6,-1.8
Bissoli,0,0,0,0
Carlos Eduardo,0.3,7,0.2,1.2
Geuvânio,0,-0.1,3.9,0.5
Jajá,0,0,0,0
Pedrinho,0,0,-0.6,2.9
Vinicius Mingotti,8.6,-0.2,0.2,0.001
Vitinho,11.2,18.2,1.6,-3.3
Jean,0,16.1,4.6,-5.6
Mauricio Kozlinski,0,0,0,0
Dudu,0,3.7,-6.7,0
Nicolas,0,9.4,2.8,0.1
Éder,0,6.1,0.4,-0.4
Gilvan,0,6.6,0.8,0.9
João Victor,0,0,0,0
Oliveira,0,0,0,0
Edson,0,7.7,1.2,5.5
Everton Felipe,0,2.9,3.2,0.3
Gustavo Ferrareis,0,15.8,5.1,0
Jorginho,0,12.2,10.7,2.4
Marlon Freitas,0,5.1,3,1.8
Matheus Frizzo,0,0,0,0
Matheus Vargas,0,0.5,0,0.9
Matheuzinho,0,0,1.9,-0.8
Moacir,0,-1.2,1,2.8
Vaca,0,0,0,0
Willian Maranhão,0,1.9,-0.3,0
Chico,0,0.001,0,1.3
Hyuri,0,11,2.2,-0.5
Júnior Brandão,0,0,2.9,-0.6
Renato Kayzer,0,0,0,0
Vitor,0,0,0,1.7
Rafael,7.2,-4.5,4.3,4
Fábio Santos,0,-1,5,0
Guga,5.6,13.1,5.3,0.7
Guilherme Arana,7.8,4.9,4.5,4.5
Maílton,0,0,0,-0.1
Mariano,0,0.9,0,-0.7
Bueno,7.4,0,0,0
Gabriel,2.8,0,0,0
Igor Rabello,10.5,0,0,7.9
Júnior Alonso,5.7,5.1,6.5,2.7
Réver,0,1.6,5,0
Allan,3.1,1.4,3.1,2.8
Franco,-1.6,2.1,2.5,0.3
Hyoran,2.7,20.8,2.8,2.4
Jair,0.9,5.2,1.2,5
Léo Sena,0,0,0.8,0
Nathan,3.2,10.2,0,0
Otero,0,0,0,0
Bruno Silva,0,0,0,1.5
Keno,-1.2,3.5,0.3,4.8
Marquinhos,2.7,-1.2,6,4.9
Marrony,0.6,10.1,19.7,0.5
Savarino,2,0.6,0.4,3.1
Anderson,0,0,0,1.1
