Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
ACG,Chico,A,3.51,0,0,0,0
ACG,Danilo,Z,1.0,0,0,0,0
ACG,Dudu,L,3.93,0,0,0,0
ACG,Edson ,M,8.65,0,0,0,0
ACG,Edson Júnior,A,1.0,0,0,0,0
ACG,Everton Felipe,M,4.7,0,0,0,0
ACG,Gabriel Bernard,G,1.0,0,0,0,0
ACG,Gilvan,Z,6.62,0,0,0,0
ACG,Gustavo Ferrareis,M,10.08,0,0,0,0
ACG,Henry Vaca,M,2.38,0,0,0,0
ACG,Hyuri,A,5.53,0,0,0,0
ACG,Janderson,A,5.27,0,0,0,0
ACG,Jean,G,7.46,0,0,0,0
ACG,João Victor,Z,2.29,0,0,0,0
ACG,Júnior Brandão,A,2.5,0,0,0,0
ACG,Luan Sales,L,1.0,0,0,0,0
ACG,Lucas Pereira,G,2.0,0,0,0,0
ACG,Luiz Henrique,L,1.0,0,0,0,0
ACG,Marlon Freitas,M,5.45,0,0,0,0
ACG,Matheus Frizzo,M,1.23,0,0,0,0
ACG,Matheus Vargas,M,2.47,0,0,0,0
ACG,Matheuzinho,M,4.47,0,0,0,0
ACG,Maurício Kozlinski,G,4.0,0,0,0,0
ACG,Michel,Z,1.0,0,0,0,0
ACG,Natanael,L,4.0,0,0,0,0
ACG,Nicolas,L,7.24,0,0,0,0
ACG,Odair,Z,2.0,0,0,0,0
ACG,Oliveira,Z,4.22,0,0,0,0
ACG,Renato Kayzer,A,5.08,0,0,0,0
ACG,Ricardo,M,2.0,0,0,0,0
ACG,Vitor,A,1.26,0,0,0,0
ACG,Willian Maranhão,M,3.05,0,0,0,0
ACG,Éder ,Z,3.21,0,0,0,0
BAH,Alesson,M,1.41,0,0,0,0
BAH,Anderson,G,0.76,0,0,0,0
BAH,Anderson Martins,Z,6.0,0,0,0,0
BAH,Clayson,A,4.72,0,0,0,0
BAH,Daniel,M,3.93,0,0,0,0
BAH,Douglas Borel,L,1.0,0,0,0,0
BAH,Douglas Friedrich,G,9.12,0,0,0,0
BAH,Edilson,A,1.0,0,0,0,0
BAH,Edson,M,1.62,0,0,0,0
BAH,Elton,M,3.66,0,0,0,0
BAH,Ernando,Z,5.73,0,0,0,0
BAH,Everson,Z,1.0,0,0,0,0
BAH,Fabrício,G,1.0,0,0,0,0
BAH,Fessin,M,1.42,0,0,0,0
BAH,Gilberto,A,7.22,0,0,0,0
BAH,Gregore,M,5.69,0,0,0,0
BAH,Ignácio,Z,2.0,0,0,0,0
BAH,Jadson,M,2.82,0,0,0,0
BAH,Jaques,Z,1.0,0,0,0,0
