Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Chico,A,3.51,0,0,0,0
Danilo,Z,1.0,0,0,0,0
Dudu,L,3.93,0,0,0,0
Edson ,M,8.65,0,0,0,0
Edson Júnior,A,1.0,0,0,0,0
Everton Felipe,M,4.7,0,0,0,0
Gabriel Bernard,G,1.0,0,0,0,0
Gilvan,Z,6.62,0,0,0,0
Gustavo Ferrareis,M,10.08,0,0,0,0
Henry Vaca,M,2.38,0,0,0,0
Hyuri,A,5.53,0,0,0,0
Janderson,A,5.27,0,0,0,0
Jean,G,7.46,0,0,0,0
João Victor,Z,2.29,0,0,0,0
Júnior Brandão,A,2.5,0,0,0,0
Luan Sales,L,1.0,0,0,0,0
Lucas Pereira,G,2.0,0,0,0,0
Luiz Henrique,L,1.0,0,0,0,0
Marlon Freitas,M,5.45,0,0,0,0
Matheus Frizzo,M,1.23,0,0,0,0
Matheus Vargas,M,2.47,0,0,0,0
Matheuzinho,M,4.47,0,0,0,0
Maurício Kozlinski,G,4.0,0,0,0,0
Michel,Z,1.0,0,0,0,0
Natanael,L,4.0,0,0,0,0
Nicolas,L,7.24,0,0,0,0
Odair,Z,2.0,0,0,0,0
Oliveira,Z,4.22,0,0,0,0
Renato Kayzer,A,5.08,0,0,0,0
Ricardo,M,2.0,0,0,0,0
Vitor,A,1.26,0,0,0,0
Willian Maranhão,M,3.05,0,0,0,0
Éder ,Z,3.21,0,0,0,0
