Jogador,1,2,3,4,5,6,7,8,9,10,11
Chico,0,0.001,0,1.3,0,3.9,7.1,6.4,2.4,-1.8,0.5
Danilo,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Dudu,0,3.7,-6.7,0,1,3.8,5.8,3,2.2,6.9,1.9
Edson ,0,7.7,1.2,5.5,6.3,5.5,3.1,11.4,3.0,1.0,2.3
Edson Júnior,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Everton Felipe,0,2.9,3.2,0.3,0.7,1.5,1,1.5,-0.2,-0.3,4.3
Gabriel Bernard,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Gilvan,0,6.6,0.8,0.9,-0.4,1.8,0,0,0.0,4.5,9.5
Gustavo Ferrareis,0,15.8,5.1,0,2.5,0.5,0.4,-0.9,1.8,1.5,9.3
Henry Vaca,0,0,0,0,0,0,0,0.3,0.0,0.0,0.0
Hyuri,0,11,2.2,-0.5,-0.8,1.5,0.5,-0.5,-0.6,-2.6,0.0
Janderson,0,1,0,0,0,1.3,-0.3,0.7,1.9,3.2,8.7
Jean,0,16.1,4.6,-5.6,-4,5.3,1.8,-2.4,9.4,11.9,-1.2
João Victor,0,0,0,0,0,-0.7,5.7,-0.4,-2.8,5.1,1.9
Júnior Brandão,0,0,2.9,-0.6,0.001,0,0,0,0.0,0.0,0.0
Luan Sales,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Lucas Pereira,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Luiz Henrique,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Marlon Freitas,0,5.1,3,1.8,2,-0.3,0,2.1,0.3,0.0,0.0
Matheus Frizzo,0,0,0,0,1.4,-2.5,-0.2,0,0.0,0.0,0.0
Matheus Vargas,0,0.5,0,0.9,0,-0.1,0,0,3.8,-0.7,-0.2
Matheuzinho,0,0,1.9,-0.8,2,0,2,2.8,8.4,0.001,0.8
Maurício Kozlinski,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Michel,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Natanael,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Nicolas,0,9.4,2.8,0.1,-0.7,0.5,0.9,2.2,5.9,9.4,3.5
Odair,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Oliveira,0,0,0,0,-0.4,0,0,0,0.3,3.8,10.0
Renato Kayzer,0,0,0,0,0,0,11.4,0.7,16.6,1.4,-1.0
Ricardo,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Vitor,0,0,0,1.7,0,0,0,0,0.0,0.0,0.0
Willian Maranhão,0,1.9,-0.3,0,0,0,1.4,0,0.0,0.0,0.0
Éder ,0,6.1,0.4,-0.4,1.6,-0.2,-1,0.2,-0.8,4.8,-1.6
