Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Alesson,M,1.41,0,0,0,0
Anderson,G,0.76,0,0,0,0
Anderson Martins,Z,6.0,0,0,0,0
Clayson,A,4.72,0,0,0,0
Daniel,M,3.93,0,0,0,0
Douglas Borel,L,1.0,0,0,0,0
Douglas Friedrich,G,9.12,0,0,0,0
Edilson,A,1.0,0,0,0,0
Edson,M,1.62,0,0,0,0
Elton,M,3.66,0,0,0,0
Ernando,Z,5.73,0,0,0,0
Everson,Z,1.0,0,0,0,0
Fabrício,G,1.0,0,0,0,0
Fessin,M,1.42,0,0,0,0
Gilberto,A,7.22,0,0,0,0
Gregore,M,5.69,0,0,0,0
Ignácio,Z,2.0,0,0,0,0
Jadson,M,2.82,0,0,0,0
Jaques,Z,1.0,0,0,0,0
Jeferson Douglas,M,1.0,0,0,0,0
João Pedro ,L,4.26,0,0,0,0
João Pedro Silva,A,1.0,0,0,0,0
Juninho,Z,7.93,0,0,0,0
Juninho Capixaba,L,7.69,0,0,0,0
Lucas Fonseca,Z,4.22,0,0,0,0
Marco Antônio,M,3.46,0,0,0,0
Mateus Claus,G,3.77,0,0,0,0
Matheus Bahia,L,0.77,0,0,0,0
Matheus Teixeira,G,1.0,0,0,0,0
Nino Paraíba,L,7.9,0,0,0,0
Ramires,M,7.0,0,0,0,0
Ramon,M,1.0,0,0,0,0
Rodriguinho,M,15.25,0,0,0,0
Ronaldo,M,3.29,0,0,0,0
Rossi,A,5.01,0,0,0,0
Saldanha,A,1.24,0,0,0,0
Thiago Andrade,A,1.0,0,0,0,0
Wanderson,Z,4.0,0,0,0,0
Zeca,L,4.83,0,0,0,0
Élber,A,9.43,0,0,0,0
