Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Barrandeguy,L,3.88,0,0,0,0
Bruno Nazário,M,8.32,0,0,0,0
Caio Alexandre,M,4.49,0,0,0,0
Davi Araújo,A,1.23,0,0,0,0
David Sousa,Z,0.77,0,0,0,0
Diego Cavalieri,G,5.73,0,0,0,0
Diego Loureiro,G,1.0,0,0,0,0
Fernando,L,3.2,0,0,0,0
Gatito Fernández,G,14.9,0,0,0,0
Guilherme Santos,L,7.36,0,0,0,0
Honda,M,4.88,0,0,0,0
Hugo,L,2.01,0,0,0,0
Kalou,A,7.53,0,0,0,0
Kanu,Z,5.55,0,0,0,0
Kevin ,L,2.72,0,0,0,0
Lecaros,A,3.0,0,0,0,0
Lucas Barros,L,2.0,0,0,0,0
Lucas Campos,A,2.0,0,0,0,0
Luis Henrique ,A,4.76,0,0,0,0
Luiz Otávio,M,2.11,0,0,0,0
Marcelo Benevenuto,Z,7.63,0,0,0,0
Marcinho,L,6.0,0,0,0,0
Matheus Babi,A,7.98,0,0,0,0
Matheus Nascimento,A,0.77,0,0,0,0
Pedro Raul,A,5.02,0,0,0,0
Rafael Forster,Z,3.61,0,0,0,0
Rafael Navarro,A,2.0,0,0,0,0
Rentería,M,5.63,0,0,0,0
Rhuan,A,2.38,0,0,0,0
Saulo,G,2.0,0,0,0,0
Victor Luis,L,9.37,0,0,0,0
Warley,A,3.0,0,0,0,0
Ênio,M,1.0,0,0,0,0
