Jogador,1,2,3,4,5,6,7,8,9,10,11
Barrandeguy,0,1.3,6.6,-1.1,-1.8,3.7,0,0,0.0,1.1,4.9
Bruno Nazário,0,3.2,0.1,1.7,2,0.3,0.3,10,2.4,8.3,0.0
Caio Alexandre,0,2.4,-0.9,11.6,-1.8,-1.1,0,4.2,2.8,-0.8,-1.5
Davi Araújo,0,0,0,0,0,0.001,0,0,0.0,0.0,2.6
David Sousa,0,0,0,0,0,0,0,0.001,0.0,0.0,0.0
Diego Cavalieri,0,0,0,0,0,0,0,0,1.4,1.5,0.0
Diego Loureiro,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Fernando,0,0,0,1,0,0,0,0,0.0,0.0,5.3
Gatito Fernández,0,5.3,4.2,7.9,1.3,3.5,9,-0.7,0.0,0.0,14.3
Guilherme Santos,0,7.3,7.3,4.3,2.3,-0.6,5,0.1,0.0,0.0,0.0
Honda,0,0.7,2.5,0,3.9,0,0.2,6.8,0.0,-0.9,0.5
Hugo,0,0,0,0,0,0,0,0,0.0,0.0,4.9
Kalou,0,0,0,0,0,0,3.8,8.2,-1.2,3.1,1.0
Kanu,0,1.3,6.5,0.7,-0.3,1.9,8.2,4.6,1.6,6.3,4.4
Kevin,0,0.6,0,0,0.5,0,6.8,4.5,2.4,-1.8,0.0
Lecaros,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Lucas Barros,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Lucas Campos,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Luis Henrique ,0,0.4,1.4,3.5,1,0,4.2,0,0.0,0.0,0.0
Luiz Otávio,0,1,0.001,0.8,-0.1,1.4,0.7,0.001,-0.1,1.5,0.001
Marcelo Benevenuto,0,0.7,6.1,0.9,-0.3,0.6,7.3,0.001,5.4,1.7,7.5
Marcinho,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Matheus Babi,0,8,4.2,7.1,6.2,1.1,-1.5,1.3,0.2,21.1,1.9
Matheus Nascimento,0,0,0,0,0,0,0,-0.5,0.0,0.0,0.0
Pedro Raul,0,0,0,1.2,9.4,-4.1,1.2,0,0.0,-1.7,0.0
Rafael Forster,0,0.001,0,2.1,-0.2,0.001,4.4,-0.1,-0.8,-1.2,5.4
Rafael Navarro,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Rentería,0,0,0,0,0,0,0,0,0.6,3.6,0.7
Rhuan,0,0.8,-0.1,0.5,-0.1,0.6,0,5.5,2.2,1.4,1.7
Saulo,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Victor Luis,0,2.8,9.6,0,0,0,0,0,12.6,2.1,4.2
Warley,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Ênio,0,0,0,0,0,0,0,0,0.0,0.0,0.0
