Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Allan,M,6.37,0,0,0,0
Borrero,M,4.0,0,0,0,0
Bueno,Z,8.64,0,0,0,0
Calebe,M,1.0,0,0,0,0
Cazares,M,12.0,0,0,0,0
Diego Tardelli,A,9.0,0,0,0,0
Eduardo Sasha,A,6.86,0,0,0,0
Everson,G,8.97,0,0,0,0
Franco,M,5.43,0,0,0,0
Fábio Santos,L,6.19,0,0,0,0
Gabriel,Z,7.83,0,0,0,0
Guga,L,12.61,0,0,0,0
Guilherme Arana,L,15.58,0,0,0,0
Gustavo Blanco,M,6.0,0,0,0,0
Gustavo Henrique,Z,2.0,0,0,0,0
Hyoran,M,12.26,0,0,0,0
Igor Rabello,Z,11.82,0,0,0,0
Jair,M,7.19,0,0,0,0
Júnior Alonso,Z,10.8,0,0,0,0
Keno,A,13.58,0,0,0,0
Léo Sena,M,6.21,0,0,0,0
Mariano,L,9.06,0,0,0,0
Marquinhos,A,4.3,0,0,0,0
Marrony,A,10.21,0,0,0,0
Maílton,L,2.68,0,0,0,0
Nathan,M,10.89,0,0,0,0
Rafael,G,7.81,0,0,0,0
Réver,Z,7.21,0,0,0,0
Savarino,A,5.56,0,0,0,0
Sávio,A,0.76,0,0,0,0
Victor,G,6.11,0,0,0,0
