Jogador,1,2,3,4,5,6,7,8,9,10,11
Allan,3.1,1.4,3.1,2.8,-0.4,0,2.5,-1.3,-0.3,4.8,0.001
Borrero,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Bueno,7.4,0,0,0,0,0,0,5,0.0,0.0,0.0
Calebe,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Cazares,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Diego Tardelli,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Eduardo Sasha,0,0,0,0,1,0,2.9,8.2,8.4,-1.6,0.9
Everson,0,0,0,0,0,0,0,0,0.0,-2.4,4.6
Franco,-1.6,2.1,2.5,0.3,-0.1,0,18.7,1.1,9.7,-0.3,1.1
Fábio Santos,0,-1,5,0,0,0,5.9,0,0.0,0.0,0.0
Gabriel,2.8,0,0,0,0,0,0,0,0.0,0.0,0.0
Guga,5.6,13.1,5.3,0.7,0,0,4.6,10.5,0.0,4.2,0.3
Guilherme Arana,7.8,4.9,4.5,4.5,2.4,0,7.4,6.9,1.8,8.5,-0.7
Gustavo Blanco,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Gustavo Henrique,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Hyoran,2.7,20.8,2.8,2.4,1,0,7.5,1.8,2.8,0.001,0.0
Igor Rabello,10.5,0,0,7.9,-0.7,0,4.2,7.8,1.0,1.5,0.9
Jair,0.9,5.2,1.2,5,-1.6,0,20,2.2,-1.4,0.0,0.001
Júnior Alonso,5.7,5.1,6.5,2.7,2.4,0,12.8,3.7,-0.1,1.3,1.2
Keno,-1.2,3.5,0.3,4.8,-0.5,0,6,2.1,-1.9,4.7,26.6
Léo Sena,0,0,0.8,0,0,0,0,0,0.0,0.0,0.0
Mariano,0,0.9,0,-0.7,0.6,0,11.6,0,2.5,0.0,4.9
Marquinhos,2.7,-1.2,6,4.9,1.4,0,1,0.4,-0.7,0.0,0.0
Marrony,0.6,10.1,19.7,0.5,-0.2,0,0.1,-0.6,0.3,0.0,0.0
Maílton,0,0,0,-0.1,0,0,0,0,0.0,3.4,-0.1
Nathan,3.2,10.2,0,0,0,0,0,0,0.0,0.8,10.5
Rafael,7.2,-4.5,4.3,4,-2.4,0,7.6,8.3,-5.6,0.0,0.0
Réver,0,1.6,5,0,2,0,0,0,0.0,9.9,0.9
Savarino,2,0.6,0.4,3.1,1.2,0,-0.5,-3.5,-0.7,11.6,6.6
Sávio,0,0,0,0,0,0,0,0,0.0,0.0,-0.6
Victor,0,0,0,0,0,0,0,0,-7.2,0.0,0.0
