Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Abner Vinícius,L,9.95,0,0,0,0
Aguilar,Z,6.4,0,0,0,0
Alvarado,M,3.88,0,0,0,0
Anderson,G,2.0,0,0,0,0
Bento,G,1.0,0,0,0,0
Bissoli,A,2.32,0,0,0,0
Bruno Leite,M,0.77,0,0,0,0
Caio,G,1.0,0,0,0,0
Carlos Eduardo,A,4.53,0,0,0,0
Christian,M,0.77,0,0,0,0
Edu,Z,2.0,0,0,0,0
Erick,M,4.56,0,0,0,0
Fabinho,A,3.36,0,0,0,0
Fernando Canesin,M,1.44,0,0,0,0
Geuvânio,A,5.23,0,0,0,0
Jajá,A,1.0,0,0,0,0
Jandrei,G,10.29,0,0,0,0
Jonathan,L,9.85,0,0,0,0
Jorginho,M,10.61,0,0,0,0
Kawan,M,0.72,0,0,0,0
Khellven ,L,4.13,0,0,0,0
Luan Patrick,Z,2.0,0,0,0,0
Lucas Halter,Z,2.99,0,0,0,0
Lucho González,M,2.9,0,0,0,0
Léo Cittadini,M,13.09,0,0,0,0
Léo Gomes,M,1.0,0,0,0,0
Márcio Azevedo,L,3.41,0,0,0,0
Nikão,M,9.63,0,0,0,0
Pedrinho,A,2.49,0,0,0,0
Pedro Henrique,Z,4.63,0,0,0,0
Pedrão,Z,3.0,0,0,0,0
Ravanelli,M,3.63,0,0,0,0
Richard,M,2.27,0,0,0,0
Santos,G,6.8,0,0,0,0
Thiago Heleno,Z,6.37,0,0,0,0
Vitinho,A,15.46,0,0,0,0
Walter,A,3.64,0,0,0,0
Wellington,M,1.02,0,0,0,0
Zé Ivaldo,Z,6.96,0,0,0,0
