Jogador,1,2,3,4,5,6,7,8,9,10,11
Abner Vinicius,7.2,2.9,9.1,-0.5,0.3,0,2.1,-0.1,0.0,7.2,0.0
Aguilar,5.4,0,0,0,-2.5,0,0,0,5.0,0.0,0.0
Alvarado,0,0,0,0,0,0,0,0.7,1.9,0.001,0.0
Anderson,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Bento,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Bissoli,0,0,0,0,0,0,-0.8,1.2,-0.1,0.8,0.0
Bruno Leite,0,0,0,0,0,0,0,-0.6,0.0,0.0,0.0
Caio,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Carlos Eduardo,0.3,7,0.2,1.2,0,0,-0.1,0,0.0,2.4,0.0
Christian,-3.5,0,0,0,0,0,-0.1,1.7,0.0,-4.0,0.0
Edu,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Erick,0,0,0,0,0,0,6.4,3.4,5.6,1.5,0.0
Fabinho,0,0,0,0,0,0,0.2,-2.6,1.0,11.9,0.0
Fernando Canesin,0.6,0.001,0,-1.2,0,0,0,0,0.0,0.0,0.0
Geuvânio,0,-0.1,3.9,0.5,1.7,0,8.7,-0.1,7.7,1.0,0.0
Jajá,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Jandrei,8.2,0,0,0,0,0,0,0,0.0,0.0,0.0
Jonathan,9.8,-1.8,0.9,0,0,0,0,0,-0.4,5.1,0.0
Jorginho,0,12.2,10.7,2.4,3.9,0.001,0,0,0.0,0.0,0.0
Kawan,-2.6,0,0,0,0,0,0,0,0.0,0.0,0.0
Khellven ,5,0,0.9,-2.2,3.3,0,-2.5,0,-0.5,0.0,0.0
Luan Patrick,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Lucas Halter,0,2.5,-0.2,-0.8,0,0,1.9,0.6,0.0,0.0,0.0
Lucho González,0.8,0,0,0,2,0,0,0.001,-3.7,0.0,0.0
Léo Cittadini,9.8,6,1.9,1.8,0.3,0,2.1,4.3,4.2,0.0,0.0
Léo Gomes,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Márcio Azevedo,0,0,0,0,-1.4,0,0,0.9,-2.0,2.0,0.0
Nikão,3.5,3.5,2.4,0.5,0,0,0,0,-3.2,-1.2,0.0
Pedrinho,0,0,-0.6,2.9,0.001,0,-0.3,1.8,0.0,0.0,0.0
Pedro Henrique,0,0,0,0,-2.6,0,1.5,2.6,0.0,6.2,0.0
Pedrão,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Ravanelli,0,0,0,0,0,0,0,0,8.5,0.3,0.0
Richard,-0.5,0.5,-3.6,0.2,4.4,0,0.001,2.9,0.0,0.0,0.0
Santos,0,-2.8,5.8,-3.1,1.5,0,1.1,-2.1,1.6,8.4,0.0
Thiago Heleno,0,-0.4,1.3,-2.4,0,0,0,0,1.3,9.5,0.0
Vitinho,11.2,18.2,1.6,-3.3,1.8,0,0,0,0.0,0.0,0.0
Walter,0,0,0,0,1.1,0,0.001,0,0.0,0.0,0.0
Wellington,0,0.7,0.6,-1.8,-4.5,0,-1.8,0,0.0,-2.6,0.0
Zé Ivaldo,5.6,0,0,0,0,0,0,0,0.0,0.0,0.0
