Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Alyson,L,1.88,0,0,0,0
Bergson,A,1.92,0,0,0,0
Bruno Pacheco,L,8.01,0,0,0,0
Charles,M,6.06,0,0,0,0
Cléber,A,11.59,0,0,0,0
Diogo Silva,G,4.0,0,0,0,0
Eduardo,L,3.65,0,0,0,0
Eduardo Brock,Z,3.0,0,0,0,0
Fabinho,M,3.38,0,0,0,0
Felipe Baxola,M,3.54,0,0,0,0
Fernando Prass,G,5.09,0,0,0,0
Fernando Sobral,M,12.29,0,0,0,0
Gabriel Lacerda,Z,3.38,0,0,0,0
Kelvyn,L,1.0,0,0,0,0
Klaus,Z,4.13,0,0,0,0
Leandro Carvalho,A,5.9,0,0,0,0
Lima,M,4.83,0,0,0,0
Luiz Otávio,Z,3.86,0,0,0,0
Léo Chú,A,2.0,0,0,0,0
Marthã,M,0.76,0,0,0,0
Mateus Gonçalves,A,7.6,0,0,0,0
Pedro Naressi,M,1.0,0,0,0,0
Rafael Sobis,A,6.4,0,0,0,0
Ricardinho,M,2.47,0,0,0,0
Richard,G,4.0,0,0,0,0
Rick,A,0.77,0,0,0,0
Rodrigão,A,6.0,0,0,0,0
Samuel Xavier,L,6.3,0,0,0,0
Saulo Mineiro,A,3.0,0,0,0,0
Tiago ,Z,7.31,0,0,0,0
Victor Jacaré,A,7.41,0,0,0,0
Vinícius,M,9.55,0,0,0,0
Vitão,Z,1.0,0,0,0,0
Wescley,M,4.06,0,0,0,0
William Oliveira,M,2.05,0,0,0,0
