Jogador,1,2,3,4,5,6,7,8,9,10,11
Alyson,0,3.1,0,0,0,0,0,0,-4.7,0.0,0.0
Bergson,0.001,-0.5,0,0,0,0,0,0.5,0.0,1.8,0.0
Bruno Pacheco,3,0,0.001,3.1,5.7,8.4,5.9,-5.6,0.0,4.4,5.6
Charles,2.2,1.9,2.3,1.3,4.3,3.5,2.5,2.9,1.4,10.4,-0.3
Cléber,9,9.1,-0.2,-0.2,7.1,2.5,2,3.1,1.6,3.9,5.1
Diogo Silva,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Eduardo,0,0.7,0,0,0,0,0,0,2.1,0.0,2.0
Eduardo Brock,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Fabinho,-0.6,1.2,-1.2,5,1.8,5.7,2,-0.6,0.0,0.0,0.0
Felipe Baxola,0,0,0,0,0,0,0.001,0,-0.2,0.0,0.7
Fernando Prass,-6.6,11.8,-1.7,-6.2,16.2,11.9,3.9,5.6,-1.2,3.7,-0.9
Fernando Sobral,6.8,4.4,5.1,6.3,11.4,6,3.3,5.7,2.8,3.0,3.3
Gabriel Lacerda,0,-0.6,-0.7,0,12.7,7.2,5,0,0.5,0.0,0.001
Kelvyn,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Klaus,-0.3,0,0,0,0,0,0,0,0.0,0.0,0.0
Leandro Carvalho,0,6.6,0,0.8,-0.3,3.7,2.3,-3.2,0.0,1.2,4.8
Lima,1.7,0,2.8,-1.3,0,7.5,0,-0.3,1.2,0.9,0.6
Luiz Otávio,1.2,-1.4,-3.1,1.2,4.6,0,4,-1.2,0.0,16.1,-2.2
Léo Chú,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Marthã,0,0,0,0,0,0,0,0,0.0,0.001,-2.4
Mateus Gonçalves,3.4,6.7,1.4,4.2,8.1,0.6,0.2,0.2,-0.1,0.001,0.0
Pedro Naressi,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Rafael Sobis,3.4,-0.3,2.5,2.6,4.1,0.001,-0.2,1,-0.2,0.0,0.0
Ricardinho,-0.3,0,0,-0.9,0.001,0,0,0,2.0,-0.3,0.0
Richard,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Rick,-1.1,0,0.3,0,0,0,0,0,-0.5,0.0,0.0
Rodrigão,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Samuel Xavier,-0.2,0.3,0.9,-3.4,5,6.3,9.3,-0.9,0.0,5.3,5.4
Saulo Mineiro,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Tiago ,0,0,0,2,0,4.2,6,2.9,2.9,7.9,0.0
Victor Jacaré,8.2,-0.5,1.4,1.3,0,0,0,0,0.0,0.0,0.0
Vinícius,0,0,0,0.4,3.3,8.1,9.1,4.8,1.0,13.1,8.6
Vitão,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Wescley,0,0,-0.1,0,-0.5,0,0,0,0.0,0.0,9.2
William Oliveira,0,1.2,-0.4,0,-0.6,0,1.4,0,-0.8,0.0,1.8
