Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Araos,M,7.51,0,0,0,0
Boselli,A,6.1,0,0,0,0
Bruno Méndez,Z,1.7,0,0,0,0
Camacho,M,2.68,0,0,0,0
Cantillo,M,5.66,0,0,0,0
Cauê,A,1.0,0,0,0,0
Cássio,G,8.07,0,0,0,0
Danilo Avelar,Z,4.41,0,0,0,0
Davó,A,2.0,0,0,0,0
Everaldo ,A,4.48,0,0,0,0
Fagner,L,10.19,0,0,0,0
Gabriel,M,4.19,0,0,0,0
Gabriel Pereira,M,0.83,0,0,0,0
Gil,Z,5.83,0,0,0,0
Guilherme,G,1.0,0,0,0,0
Gustavo Mosquito,A,3.05,0,0,0,0
Igor Formiga,L,1.0,0,0,0,0
Jô,A,11.62,0,0,0,0
Luan,M,7.75,0,0,0,0
Lucas Piton,L,4.12,0,0,0,0
Léo Natel,A,4.37,0,0,0,0
Léo Santos,Z,2.0,0,0,0,0
Mantuan,M,2.0,0,0,0,0
Mateus Vital,M,6.52,0,0,0,0
Matheus Donelli,G,1.0,0,0,0,0
Michel,L,4.76,0,0,0,0
Otero,M,12.07,0,0,0,0
Ramiro,M,6.73,0,0,0,0
Raul Gustavo,Z,1.0,0,0,0,0
Ronald,Z,1.0,0,0,0,0
Roni,M,2.0,0,0,0,0
Ruan,M,1.22,0,0,0,0
Sidcley,L,6.58,0,0,0,0
Walter,G,4.99,0,0,0,0
Xavier,M,1.0,0,0,0,0
Éderson,M,5.21,0,0,0,0
