Jogador,1,2,3,4,5,6,7,8,9,10,11
Araos,0,14.1,-0.2,9.1,4,0.3,-0.2,-1.9,0.0,0.0,0.0
Boselli,0,0,0,0,-0.2,0.001,0,0.001,0.0,0.0,0.0
Bruno Méndez,0,0.5,0,0,0,0,0,0,0.0,-4.0,0.0
Camacho,0,0,-0.5,0.4,0,0,-0.4,0.6,0.0,-0.7,0.0
Cantillo,0,1.2,-0.9,0.6,2.8,8.2,4.6,-2.8,-0.2,0.2,0.0
Cauê,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Cássio,0,4.7,8.6,-2.1,-2.3,-0.8,5.7,-3.4,7.7,-4.8,0.0
Danilo Avelar,0,0.5,6.9,2.5,2.5,-0.8,7.7,0.3,-5.0,0.0,0.0
Davó,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Everaldo ,0,0,0,0,0,0,0,0,0.0,2.8,0.0
Fagner,0,0,0,1.5,3.7,3,-0.3,9.4,-4.5,0.0,0.0
Gabriel,0,-1.3,-0.5,10.1,0,-0.6,3,0,3.6,-0.5,0.0
Gabriel Pereira,0,0.2,0,0,0,0,0,0,0.0,0.0,0.0
Gil,0,0,4.4,-0.4,2,-0.5,1.2,0.5,1.7,7.9,0.0
Guilherme,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Gustavo Mosquito,0,0,0,11.5,0.2,1.2,1.9,0.5,0.3,0.8,0.0
Igor Formiga,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Jô,0,13.9,0.8,7.1,0.6,1.2,1.5,10.1,-0.5,-1.7,0.0
Luan,0,0,1.5,0,12,0.001,1.4,0,0.0,0.0,0.0
Lucas Piton,0,0,0,2.4,0,0,-0.5,3.4,2.4,3.4,0.0
Léo Natel,0,0,-2.6,12.1,3.6,2.6,0.1,4.9,0.001,0.0,0.0
Léo Santos,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Mantuan,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Mateus Vital,0,1.4,1,0,2,0,0,-2,0.4,10.2,0.0
Matheus Donelli,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Michel,0,1.3,8,0,0,0,0,0,1.5,0.001,0.0
Otero,0,0,0,0,0,-0.9,8.1,3.7,7.2,4.3,0.0
Ramiro,0,3.8,4,0.2,0,8.4,0.3,1.4,0.3,3.1,0.0
Raul Gustavo,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Ronald,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Roni,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Ruan,0,-0.2,1.5,1.5,0.3,0,0,0,0.0,0.0,0.0
Sidcley,0,4.1,10.3,2.5,-0.2,-0.5,0,0,-0.1,-0.1,0.0
Walter,0,0,0,0,0,0,0,0,0.0,-2.0,0.0
Xavier,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Éderson,0,2.3,-0.1,1.7,0.5,8.6,0.3,0,1.2,0.9,0.0
