Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Alex Muralha,G,5.0,0,0,0,0
Cerutti,A,8.0,0,0,0,0
Diego Monteiro,G,1.0,0,0,0,0
Gabriel,M,3.91,0,0,0,0
Geovane,L,3.0,0,0,0,0
Giovanni Augusto,M,5.26,0,0,0,0
Guilherme Biro,A,2.0,0,0,0,0
Henrique Vermudt,M,2.0,0,0,0,0
Hugo Moura,M,2.88,0,0,0,0
Igor Jesus,A,1.9,0,0,0,0
Jonathan,L,4.24,0,0,0,0
Kazu,L,1.0,0,0,0,0
Luiz Henrique,M,1.46,0,0,0,0
Matheus Bueno,M,2.75,0,0,0,0
Matheus Galdezani,M,11.04,0,0,0,0
Matheus Sales,M,4.29,0,0,0,0
Natanael,L,2.47,0,0,0,0
Nathan ,A,0.74,0,0,0,0
Nathan Ribeiro,Z,3.0,0,0,0,0
Nathan Silva,M,2.39,0,0,0,0
Neilton,A,5.41,0,0,0,0
Patrick Vieira,L,4.64,0,0,0,0
Rafael Lima,Z,3.0,0,0,0,0
Rafinha,M,7.0,0,0,0,0
Ramón Martínez,M,3.25,0,0,0,0
Renê Júnior,M,1.6,0,0,0,0
Rhodolfo,Z,4.64,0,0,0,0
Robson,A,9.46,0,0,0,0
Rodolfo Filemon,Z,1.44,0,0,0,0
Sabino,Z,8.15,0,0,0,0
Sarrafiore,M,1.95,0,0,0,0
Thiago Lopes,M,2.72,0,0,0,0
Wanderley,A,3.26,0,0,0,0
Wellissol ,A,1.1,0,0,0,0
William Matheus,L,5.71,0,0,0,0
Wilson,G,10.93,0,0,0,0
Yan Sasse,M,0.86,0,0,0,0
