Jogador,1,2,3,4,5,6,7,8,9,10,11
Alex Muralha,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Cerutti,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Diego Monteiro,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Gabriel,2.1,0,0,0,0,0,0,0,0.0,0.0,-0.6
Geovane,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Giovanni Augusto,0,0,0,0,0,0.3,0.9,1.6,0.7,0.8,4.7
Guilherme Biro,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Henrique Vermudt,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Hugo Moura,0,0,0,0,0,0,0.4,0.001,0.9,1.5,3.0
Igor Jesus,0.1,-0.7,0.1,2.9,1.3,0.4,1,3.1,2.2,-1.2,0.0
Jonathan,0,3.2,-2.6,0,1.9,6.1,6,2.3,3.6,1.6,0.0
Kazu,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Luiz Henrique,0,0.6,0,0.001,-2.2,2,0,0,-0.2,3.3,0.0
Matheus Bueno,0.7,0,-0.2,1.7,1.1,1.8,2.1,-0.6,-0.9,3.3,5.3
Matheus Galdezani,5.9,-0.6,8.1,6.9,10.6,4.8,3.1,2.7,2.9,1.7,0.0
Matheus Sales,0,0,0,-0.1,3.8,0.7,4.9,-0.2,4.4,0.0,2.7
Natanael,0,0.1,0,0,0,0,0,1,0.001,1.9,8.0
Nathan ,0,0.001,0,0,0,0,0,0,0.0,0.0,0.0
Nathan Ribeiro,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Nathan Silva,2.7,-1.8,-1.3,0,0,0,0,0,0.0,0.0,0.0
Neilton,0,0,0.8,2.7,4.8,-0.7,0.3,0,0.0,0.0,0.0
Patrick Vieira,3.9,0,0,-2.2,0.6,3.9,0,0,0.0,0.0,0.0
Rafael Lima,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Rafinha,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Ramón Martínez,0,0,0,0,0,0,0,0,0.0,0.0,1.0
Renê Júnior,-0.1,1.7,-3.7,0,0,0,0,0,0.0,0.0,0.0
Rhodolfo,0,0,2.5,1.5,0.6,5.1,0,0,0.8,1.0,0.0
Robson,0.4,4.8,1.6,2.8,7.8,4.2,1.4,0.3,9.6,8.2,11.8
Rodolfo Filemon,-1.9,-2.5,-2,0,-0.1,1.6,4,0.001,-6.0,0.0,5.9
Sabino,0.7,3.6,-0.3,1,6.4,16.2,7.8,0.9,5.1,2.2,6.1
Sarrafiore,0,0,0,0,0,0,1.1,0,2.9,0.0,-2.3
Thiago Lopes,0,0,0,0,0,0,0,0,0.0,0.0,2.1
Wanderley,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0
Wellissol,-0.3,0,0,2.5,-0.5,0,-2,0,0.0,0.0,0.0
William Matheus,-0.9,3,-1.4,5.3,6,6,4.2,0.9,7.3,1.4,4.3
Wilson,1.3,-2.2,13,8.3,-2.1,12.6,12.2,0.8,-3.3,-2.6,12.8
Yan Sasse,0,-1.8,1.1,-5.5,0,0,0.5,0,0.0,-0.6,0.6
