Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Jean,G,6.85,0,0,0,0
Mauricio Kozlinski,G,4,0,0,0,0
Dudu,L,1.6,0,0,0,0
Nicolas,L,6.38,0,0,0,0
Éder,Z,3.9,0,0,0,0
Gilvan,Z,5.16,0,0,0,0
João Victor,Z,2,0,0,0,0
Oliveira,Z,4,0,0,0,0
Edson,M,7.02,0,0,0,0
Everton Felipe,M,4.25,0,0,0,0
Gustavo Ferrareis,M,10.08,0,0,0,0
Jorginho,M,11.11,0,0,0,0
Marlon Freitas,M,6.02,0,0,0,0
Matheus Frizzo,M,2,0,0,0,0
Matheus Vargas,M,2.93,0,0,0,0
Matheuzinho,M,3.63,0,0,0,0
Moacir,M,2.44,0,0,0,0
Vaca,M,3,0,0,0,0
Willian Maranhão,M,3.17,0,0,0,0
Chico,A,2.25,0,0,0,0
Hyuri,A,7.21,0,0,0,0
Júnior Brandão,A,2.56,0,0,0,0
Renato Kayzer,A,4,0,0,0,0
Vitor,A,1.26,0,0,0,0
