Jogador,1,2,3,4
Jean,0,16.1,4.6,-5.6
Mauricio Kozlinski,0,0,0,0
Dudu,0,3.7,-6.7,0
Nicolas,0,9.4,2.8,0.1
Éder,0,6.1,0.4,-0.4
Gilvan,0,6.6,0.8,0.9
João Victor,0,0,0,0
Oliveira,0,0,0,0
Edson,0,7.7,1.2,5.5
Everton Felipe,0,2.9,3.2,0.3
Gustavo Ferrareis,0,15.8,5.1,0
Jorginho,0,12.2,10.7,2.4
Marlon Freitas,0,5.1,3,1.8
Matheus Frizzo,0,0,0,0
Matheus Vargas,0,0.5,0,0.9
Matheuzinho,0,0,1.9,-0.8
Moacir,0,-1.2,1,2.8
Vaca,0,0,0,0
Willian Maranhão,0,1.9,-0.3,0
Chico,0,0.001,0,1.3
Hyuri,0,11,2.2,-0.5
Júnior Brandão,0,0,2.9,-0.6
Renato Kayzer,0,0,0,0
Vitor,0,0,0,1.7
