Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Anderson,G,2.58,0,0,0,0
Douglas Friedrich,G,9.99,0,0,0,0
João Pedro,L,4.26,0,0,0,0
Juninho Capixaba,L,8.51,0,0,0,0
Nino Paraíba,L,9.39,0,0,0,0
Zeca,L,4.61,0,0,0,0
Ernando,Z,6.48,0,0,0,0
Juninho,Z,8.51,0,0,0,0
Lucas Fonseca,Z,6,0,0,0,0
Alesson,M,1.32,0,0,0,0
Daniel,M,3.54,0,0,0,0
Elton,M,3.72,0,0,0,0
Flávio,M,7.14,0,0,0,0
Gregore,M,7.89,0,0,0,0
Jadson,M,3.25,0,0,0,0
Marco Antônio,M,2.17,0,0,0,0
Rodriguinho,M,15.36,0,0,0,0
Ronaldo,M,2.3,0,0,0,0
Clayson,A,5.08,0,0,0,0
Élber,A,9.8,0,0,0,0
Fernandão,A,6,0,0,0,0
Gilberto,A,7.06,0,0,0,0
Rossi,A,6.65,0,0,0,0
Saldanha,A,1.04,0,0,0,0
