Jogador,1,2,3,4
Anderson,0,0,0,1.1
Douglas Friedrich,0,12.2,2.1,-0.5
João Pedro,0,0,0,-0.8
Juninho Capixaba,0,7.8,7.1,0
Nino Paraíba,0,6.7,5.2,0
Zeca,0,4.5,1,-2.6
Ernando,0,5.3,10.1,-0.5
Juninho,0,5.9,7.7,-0.5
Lucas Fonseca,0,0,0,0
Alesson,0,-0.8,-0.1,2.8
Daniel,0,1.8,0,1.3
Elton,0,0,0,-0.1
Flávio,0,6.1,0,0
Gregore,0,0,6.8,0.4
Jadson,0,0,0.8,0
Marco Antônio,0,-0.1,0,0
Rodriguinho,0,10.9,0.001,4.7
Ronaldo,0,0.5,-0.7,-0.3
Clayson,0,0,1.8,0
Élber,0,2.1,9.3,9
Fernandão,0,0,0,0
Gilberto,0,0,3.8,0.001
Rossi,0,1.4,1.3,7.6
Saldanha,0,0.3,-1.2,0.1
