Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Diego Cavalieri,G,7,0,0,0,0
Gatito Fernández,G,14.16,0,0,0,0
Barrandeguy,L,2.88,0,0,0,0
Danilo Barcelos,L,3.06,0,0,0,0
Fernando,L,2.55,0,0,0,0
Guilherme Santos,L,7.96,0,0,0,0
Kevin,L,2.48,0,0,0,0
Victor Luis,L,9.5,0,0,0,0
Kanu,Z,3.39,0,0,0,0
Marcelo Benevenuto,Z,6.13,0,0,0,0
Rafael Forster,Z,3.11,0,0,0,0
Ruan Renato,Z,2,0,0,0,0
Bruno Nazário,M,6.42,0,0,0,0
Caio Alexandre,M,7.08,0,0,0,0
Cícero,M,7,0,0,0,0
Luiz Otávio,M,2.38,0,0,0,0
Honda,M,4.99,0,0,0,0
Lecaros,A,3,0,0,0,0
Luis Henrique,A,4.5,0,0,0,0
Luiz Fernando,A,6.81,0,0,0,0
Matheus Babi,A,7.12,0,0,0,0
Pedro Raul,A,5.6,0,0,0,0
Rhuan,A,1.6,0,0,0,0
