Jogador,1,2,3,4
Diego Cavalieri,0,0,0,0
Gatito Fernández,0,5.3,4.2,7.9
Barrandeguy,0,1.3,6.6,-1.1
Danilo Barcelos,0,0,0,-4.8
Fernando,0,0,0,1
Guilherme Santos,0,7.3,7.3,4.3
Kevin,0,0.6,0,0
Victor Luis,0,2.8,9.6,0
Kanu,0,1.3,6.5,0.7
Marcelo Benevenuto,0,0.7,6.1,0.9
Rafael Forster,0,0.001,0,2.1
Ruan Renato,0,0,0,0
Bruno Nazário,0,3.2,0.1,1.7
Caio Alexandre,0,2.4,-0.9,11.6
Cícero,0,0,0,0
Luiz Otávio,0,1,0.001,0.8
Honda,0,0.7,2.5,0
Lecaros,0,0,0,0
Luis Henrique,0,0.4,1.4,3.5
Luiz Fernando,0,0,0.5,10.9
Matheus Babi,0,8,4.2,7.1
Pedro Raul,0,0,0,1.2
Rhuan,0,0.8,-0.1,0.5
