Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Rafael,G,9.79,0,0,0,0
Fábio Santos,L,5.89,0,0,0,0
Guga,L,13.18,0,0,0,0
Guilherme Arana,L,17.18,0,0,0,0
Maílton,L,2.97,0,0,0,0
Mariano,L,8.17,0,0,0,0
Bueno,Z,8.99,0,0,0,0
Gabriel,Z,7.83,0,0,0,0
Igor Rabello,Z,13.99,0,0,0,0
Júnior Alonso,Z,10.9,0,0,0,0
Réver,Z,8.12,0,0,0,0
Allan,M,7.78,0,0,0,0
Franco,M,3.27,0,0,0,0
Hyoran,M,13.25,0,0,0,0
Jair,M,7.29,0,0,0,0
Léo Sena,M,6.21,0,0,0,0
Nathan,M,10.94,0,0,0,0
Otero,M,14,0,0,0,0
Bruno Silva,A,1.95,0,0,0,0
Keno,A,9.63,0,0,0,0
Marquinhos,A,5.31,0,0,0,0
Marrony,A,11.81,0,0,0,0
Savarino,A,4.86,0,0,0,0
