Jogador,1,2,3,4
Rafael,7.2,-4.5,4.3,4
Fábio Santos,0,-1,5,0
Guga,5.6,13.1,5.3,0.7
Guilherme Arana,7.8,4.9,4.5,4.5
Maílton,0,0,0,-0.1
Mariano,0,0.9,0,-0.7
Bueno,7.4,0,0,0
Gabriel,2.8,0,0,0
Igor Rabello,10.5,0,0,7.9
Júnior Alonso,5.7,5.1,6.5,2.7
Réver,0,1.6,5,0
Allan,3.1,1.4,3.1,2.8
Franco,-1.6,2.1,2.5,0.3
Hyoran,2.7,20.8,2.8,2.4
Jair,0.9,5.2,1.2,5
Léo Sena,0,0,0.8,0
Nathan,3.2,10.2,0,0
Otero,0,0,0,0
Bruno Silva,0,0,0,1.5
Keno,-1.2,3.5,0.3,4.8
Marquinhos,2.7,-1.2,6,4.9
Marrony,0.6,10.1,19.7,0.5
Savarino,2,0.6,0.4,3.1
