Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Santos,G,5.41,0,0,0,0
Jandrei,G,10.29,0,0,0,0
Abner Vinicius,L,9.59,0,0,0,0
Jonathan,L,10.54,0,0,0,0
Khellven,L,4.52,0,0,0,0
Márcio Azevedo,L,5,0,0,0,0
Aguilar,Z,7.54,0,0,0,0
Lucas Halter,Z,2.97,0,0,0,0
Thiago Heleno,Z,4.81,0,0,0,0
Zé Ivaldo,Z,6.96,0,0,0,0
Christian,M,0.72,0,0,0,0
Erick,M,4,0,0,0,0
Fernando Canesin,M,1.44,0,0,0,0
Kawan,M,0.72,0,0,0,0
Léo Cittadini,M,13.72,0,0,0,0
Lucho González,M,4.93,0,0,0,0
Marquinhos Gabriel,M,3.91,0,0,0,0
Nikão,M,11.85,0,0,0,0
Richard,M,1.17,0,0,0,0
Wellington,M,2.83,0,0,0,0
Bissoli,A,3,0,0,0,0
Carlos Eduardo,A,4.81,0,0,0,0
Geuvânio,A,4.01,0,0,0,0
Jajá,A,1,0,0,0,0
Pedrinho,A,2.78,0,0,0,0
Vinicius Mingotti,A,7.14,0,0,0,0
Vitinho,A,15.28,0,0,0,0
