Jogador,1,2,3,4
Santos,0,-2.8,5.8,-3.1
Jandrei,8.2,0,0,0
Abner Vinicius,7.2,2.9,9.1,-0.5
Jonathan,9.8,-1.8,0.9,0
Khellven,5,0,0.9,-2.2
Márcio Azevedo,0,0,0,0
Aguilar,5.4,0,0,0
Lucas Halter,0,2.5,-0.2,-0.8
Thiago Heleno,0,-0.4,1.3,-2.4
Zé Ivaldo,5.6,0,0,0
Christian,-3.5,0,0,0
Erick,0,0,0,0
Fernando Canesin,0.6,0.001,0,-1.2
Kawan,-2.6,0,0,0
Léo Cittadini,9.8,6,1.9,1.8
Lucho González,0.8,0,0,0
Marquinhos Gabriel,0,0.5,1.3,1.5
Nikão,3.5,3.5,2.4,0.5
Richard,-0.5,0.5,-3.6,0.2
Wellington,0,0.7,0.6,-1.8
Bissoli,0,0,0,0
Carlos Eduardo,0.3,7,0.2,1.2
Geuvânio,0,-0.1,3.9,0.5
Jajá,0,0,0,0
Pedrinho,0,0,-0.6,2.9
Vinicius Mingotti,8.6,-0.2,0.2,0.001
Vitinho,11.2,18.2,1.6,-3.3
