Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Fernando Prass,G,0.75,0,0,0,0
Alyson,L,3.59,0,0,0,0
Bruno Pacheco,L,6.49,0,0,0,0
Eduardo,L,4.01,0,0,0,0
Samuel Xavier,L,3.04,0,0,0,0
Eduardo Brock,Z,3,0,0,0,0
Gabriel Lacerda,Z,0.74,0,0,0,0
Klaus,Z,4.13,0,0,0,0
Luiz Otávio,Z,3.03,0,0,0,0
Tiago,Z,5.1,0,0,0,0
Charles,M,4.94,0,0,0,0
Fabinho,M,3.35,0,0,0,0
Felipe Baxola,M,5,0,0,0,0
Fernando Sobral,M,10.91,0,0,0,0
Lima,M,4.43,0,0,0,0
Marthã,M,1,0,0,0,0
Ricardinho,M,2.78,0,0,0,0
Vinicius,M,5.36,0,0,0,0
Wescley,M,2.93,0,0,0,0
William Oliveira,M,2.23,0,0,0,0
Bergson,A,1.92,0,0,0,0
Cléber,A,10.54,0,0,0,0
Leandro Carvalho,A,5.78,0,0,0,0
Mateus Gonçalves,A,8.16,0,0,0,0
Rafael Sóbis,A,7.21,0,0,0,0
Rick,A,0.74,0,0,0,0
Rogério,A,5,0,0,0,0
Victor Jacaré,A,7.41,0,0,0,0
