Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Cássio,G,10.2,0,0,0,0
Carlos Augusto,L,4,0,0,0,0
Fagner,L,11.69,0,0,0,0
Lucas Piton,L,3.72,0,0,0,0
Michel,L,5.82,0,0,0,0
Sidcley,L,8.2,0,0,0,0
Bruno Méndez,Z,3.18,0,0,0,0
Danilo Avelar,Z,5.53,0,0,0,0
Gil,Z,4.34,0,0,0,0
Araos,M,9.42,0,0,0,0
Camacho,M,3.43,0,0,0,0
Cantillo,M,5.16,0,0,0,0
Éderson,M,4.87,0,0,0,0
Gabriel,M,5.43,0,0,0,0
Gabriel Pereira,M,0.83,0,0,0,0
Luan,M,7.2,0,0,0,0
Mateus Vital,M,5.37,0,0,0,0
Ramiro,M,5.91,0,0,0,0
Ruan,M,1.36,0,0,0,0
Boselli,A,9,0,0,0,0
Davó,A,2,0,0,0,0
Everaldo,A,5,0,0,0,0
Gustavo Mosquito,A,4.2,0,0,0,0
Janderson,A,4.14,0,0,0,0
Jô,A,13.75,0,0,0,0
Léo Natel,A,5.07,0,0,0,0
