Jogador,1,2,3,4
Cássio,0,4.7,8.6,-2.1
Carlos Augusto,0,0,0,0
Fagner,0,0,0,1.5
Lucas Piton,0,0,0,2.4
Michel,0,1.3,8,0
Sidcley,0,4.1,10.3,2.5
Bruno Méndez,0,0.5,0,0
Danilo Avelar,0,0.5,6.9,2.5
Gil,0,0,4.4,-0.4
Araos,0,14.1,-0.2,9.1
Camacho,0,0,-0.5,0.4
Cantillo,0,1.2,-0.9,0.6
Éderson,0,2.3,-0.1,1.7
Gabriel,0,-1.3,-0.5,10.1
Gabriel Pereira,0,0.2,0,0
Luan,0,0,1.5,0
Mateus Vital,0,1.4,1,0
Ramiro,0,3.8,4,0.2
Ruan,0,-0.2,1.5,1.5
Boselli,0,0,0,0
Davó,0,0,0,0
Everaldo,0,0,0,0
Gustavo Mosquito,0,0,0,11.5
Janderson,0,1,0,0
Jô,0,13.9,0.8,7.1
Léo Natel,0,0,-2.6,12.1
