Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Alex Muralha,G,5,0,0,0,0
Wilson,G,8.76,0,0,0,0
Jonathan,L,2.2,0,0,0,0
Natanael,L,0.78,0,0,0,0
Patrick Vieira,L,3.67,0,0,0,0
William Matheus,L,3.38,0,0,0,0
Nathan Ribeiro,Z,3,0,0,0,0
Rhodolfo,Z,4.47,0,0,0,0
Rodolfo Filemon,Z,0.74,0,0,0,0
Sabino,Z,3.74,0,0,0,0
Gabriel,M,5.15,0,0,0,0
Giovanni,M,4,0,0,0,0
Luiz Henrique,M,0.84,0,0,0,0
Matheus Bueno,M,1.44,0,0,0,0
Matheus Galdezani,M,10.25,0,0,0,0
Matheus Sales,M,2.97,0,0,0,0
Nathan Silva,M,2.39,0,0,0,0
Rafinha,M,7,0,0,0,0
Renê Júnior,M,1.6,0,0,0,0
Ruy,M,2.83,0,0,0,0
Thiago Lopes,M,3,0,0,0,0
Yan Sasse,M,0.75,0,0,0,0
Igor Jesus,A,2.02,0,0,0,0
Nathan,A,0.74,0,0,0,0
Neilton,A,5.79,0,0,0,0
Robson,A,5.35,0,0,0,0
Sassá,A,2.69,0,0,0,0
Wanderley,A,3.26,0,0,0,0
Wellissol,A,2.17,0,0,0,0
