Jogador,1,2,3,4
Alex Muralha,0,0,0,0
Wilson,1.3,-2.2,13,8.3
Jonathan,0,3.2,-2.6,0
Natanael,0,0.1,0,0
Patrick Vieira,3.9,0,0,-2.2
William Matheus,-0.9,3,-1.4,5.3
Nathan Ribeiro,0,0,0,0
Rhodolfo,0,0,2.5,1.5
Rodolfo Filemon,-1.9,-2.5,-2,0
Sabino,0.7,3.6,-0.3,1
Gabriel,2.1,0,0,0
Giovanni,0,0,0,0
Luiz Henrique,0,0.6,0,0.001
Matheus Bueno,0.7,0,-0.2,1.7
Matheus Galdezani,5.9,-0.6,8.1,6.9
Matheus Sales,0,0,0,-0.1
Nathan Silva,2.7,-1.8,-1.3,0
Rafinha,0,0,0,0
Renê Júnior,-0.1,1.7,-3.7,0
Ruy,0.7,0.1,-1.6,0
Thiago Lopes,0,0,0,0
Yan Sasse,0,-1.8,1.1,-5.5
Igor Jesus,0.1,-0.7,0.1,2.9
Nathan,0,0.001,0,0
Neilton,0,0,0.8,2.7
Robson,0.4,4.8,1.6,2.8
Sassá,-2.6,-3.1,-1.5,9.3
Wanderley,0.5,0,0,0
Wellissol,-0.3,0,0,2.5
