Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
César,G,4.78,0,0,0,0
Diego Alves,G,7.33,0,0,0,0
Filipe Luís,L,3.94,0,0,0,0
João Lucas,L,4.17,0,0,0,0
Renê,L,5.1,0,0,0,0
Gustavo Henrique,Z,5.52,0,0,0,0
Léo Pereira,Z,5.99,0,0,0,0
Rodrigo Caio,Z,9.12,0,0,0,0
Arrascaeta,M,17.85,0,0,0,0
Diego,M,5.35,0,0,0,0
Everton Ribeiro,M,5.91,0,0,0,0
Gerson,M,10.99,0,0,0,0
Thiago Maia,M,7,0,0,0,0
Willian Arão,M,8.8,0,0,0,0
Bruno Henrique,A,13.52,0,0,0,0
Gabriel,A,10.41,0,0,0,0
Michael,A,7.03,0,0,0,0
Pedro,A,1.03,0,0,0,0
Pedro Rocha,A,5,0,0,0,0
Vitinho,A,6.01,0,0,0,0
