Jogador,1,2,3,4
César,0,-0.1,4.6,0
Diego Alves,5.6,-6.5,0,-2.4
Filipe Luís,-4.7,3,8.5,0.001
João Lucas,0,0,11,-3.9
Renê,0,0,0,2
Gustavo Henrique,0,-0.9,0,0
Léo Pereira,-0.6,0.9,6.5,5.2
Rodrigo Caio,0.7,3.7,7.1,1.5
Arrascaeta,4.3,-1.3,18.7,-0.2
Diego,0,0,-1.7,0
Everton Ribeiro,4.5,-0.7,1.7,1
Gerson,4.3,5.4,0.1,3.9
Thiago Maia,0,0,0,0
Willian Arão,5.2,-0.2,3,0.1
Bruno Henrique,2.1,4.1,3.9,3.3
Gabriel,3,2.9,3.7,6.7
Michael,0.7,0,0,0
Pedro,-3.2,-1.1,0.1,-0.5
Pedro Rocha,0,0,0,0
Vitinho,3.3,-0.9,0,-0.5
