Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Muriel,G,1.86,0,0,0,0
Egídio,L,9.75,0,0,0,0
Igor Julião,L,4.51,0,0,0,0
Orinho,L,4,0,0,0,0
Digão,Z,5,0,0,0,0
Luccas Claro,Z,5.91,0,0,0,0
Matheus Ferraz,Z,6,0,0,0,0
Nino,Z,4.34,0,0,0,0
Dodi,M,10.37,0,0,0,0
Ganso,M,3.28,0,0,0,0
Hudson,M,7,0,0,0,0
Michel Araújo,M,5.61,0,0,0,0
Miguel,M,2.39,0,0,0,0
Nenê,M,12.61,0,0,0,0
Yago Felipe,M,2.94,0,0,0,0
Yuri Lima,M,1.02,0,0,0,0
Caio Paulista,A,3.57,0,0,0,0
Evanilson,A,8.96,0,0,0,0
Felippe Cardoso,A,3,0,0,0,0
Fernando Pacheco,A,3.03,0,0,0,0
Fred,A,2.7,0,0,0,0
Luiz Henrique,A,1.16,0,0,0,0
Marcos Paulo,A,6.23,0,0,0,0
Wellington Silva,A,2.64,0,0,0,0
