Jogador,1,2,3,4
Muriel,0.8,-3.4,-2.9,-1
Egídio,1.3,8.6,4.1,7.4
Igor Julião,-1,2.9,3.7,5.4
Orinho,0,0,0,0
Digão,0,0,0,0
Luccas Claro,1.6,3.6,4.2,1.1
Matheus Ferraz,0,0,0,0
Nino,2.1,1.3,-1.8,0.6
Dodi,4.3,8.3,3,4.8
Ganso,0,0.001,0.4,-1.3
Hudson,0,0,0,0
Michel Araújo,0.8,5.1,2,4.9
Miguel,0.3,0,0,0
Nenê,3.5,0.2,16.9,7
Yago Felipe,0.5,-0.7,0.001,0
Yuri Lima,-1.6,0,-0.8,1.1
Caio Paulista,0,0,0,1.9
Evanilson,3.8,7.6,1.1,2.2
Felippe Cardoso,0,0,0,0
Fernando Pacheco,0.5,0,0,-0.1
Fred,-0.2,-2,0,0
Luiz Henrique,0,1,0.9,0.001
Marcos Paulo,0.7,6.9,-1,1.7
Wellington Silva,0.3,-1,-0.1,0
