Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Felipe Alves,G,1.34,0,0,0,0
Max Walef,G,2,0,0,0,0
Bruno Melo,L,4.82,0,0,0,0
Carlinhos,L,6.78,0,0,0,0
Gabriel Dias,L,5.88,0,0,0,0
Tinga,L,5.45,0,0,0,0
Jackson,Z,3.06,0,0,0,0
Paulão,Z,1.22,0,0,0,0
Quintero,Z,1.03,0,0,0,0
Roger Carvalho,Z,4,0,0,0,0
Derley,M,4.2,0,0,0,0
Felipe,M,4.36,0,0,0,0
Juninho,M,1.88,0,0,0,0
Luiz Henrique,M,2,0,0,0,0
Mariano Vázquez,M,1.76,0,0,0,0
Marlon,M,3.55,0,0,0,0
Ronald,M,2.07,0,0,0,0
David,A,3.05,0,0,0,0
Éderson,A,4,0,0,0,0
Edson Carius,A,3.21,0,0,0,0
Fragapane,A,2.02,0,0,0,0
Madson,A,2,0,0,0,0
Osvaldo,A,6.43,0,0,0,0
Romarinho,A,7.3,0,0,0,0
Tiago Orobó,A,2.39,0,0,0,0
Wellington Paulista,A,6.72,0,0,0,0
Yuri César,A,5.55,0,0,0,0
