Jogador,1,2,3,4
Felipe Alves,-3.5,2,4.8,-3.2
Max Walef,0,0,0,0
Bruno Melo,-1.7,1.1,5,7.8
Carlinhos,0,0.001,8.4,0
Gabriel Dias,0,0.9,9.7,-1
Tinga,0.9,1.9,0,6.1
Jackson,0.4,0.9,0,2.1
Paulão,-2.4,-0.6,4.3,0.5
Quintero,-4.6,0,6.2,-0.7
Roger Carvalho,0,0,0,0
Derley,1.8,0,0,0
Felipe,-1,3,3.4,3.6
Juninho,-1.2,-0.3,-1.4,2
Luiz Henrique,0,0,0,0
Mariano Vázquez,0,0.001,-0.5,0
Marlon,0.9,0,0,0
Ronald,0,0,0,1.9
David,0.2,0.6,1,1
Éderson,0,0,0,0
Edson Carius,0,0,0.7,0
Fragapane,0,-0.6,0,1.3
Madson,0,0,0,0
Osvaldo,1,-0.1,1.4,9.4
Romarinho,3.2,4.4,2.3,3.8
Tiago Orobó,-0.7,0,0,0
Wellington Paulista,0.5,-0.1,0.1,9.7
Yuri César,-0.1,-0.1,0.6,14.1
