Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Marcelo Rangel,G,0.86,0,0,0,0
Tadeu,G,6.32,0,0,0,0
Daniel Oliveira,L,0.74,0,0,0,0
Jefferson,L,5.99,0,0,0,0
Pintado,L,1.32,0,0,0,0
Rodrigues,L,1.48,0,0,0,0
Yago Rocha,L,3.06,0,0,0,0
Fábio Sanches,Z,5.97,0,0,0,0
Heron,Z,0.75,0,0,0,0
Lucão,Z,3,0,0,0,0
Luiz Gustavo,Z,2.42,0,0,0,0
Rafael Vaz,Z,6.54,0,0,0,0
Breno,M,4.43,0,0,0,0
Daniel Bessa,M,6.67,0,0,0,0
Gilberto,M,4,0,0,0,0
Ignacio Jara,M,1.48,0,0,0,0
Miguel Figueira,M,1.7,0,0,0,0
Ratinho,M,1.56,0,0,0,0
Sandro,M,3.84,0,0,0,0
Thalles,M,3.27,0,0,0,0
Douglas Baggio,A,4.02,0,0,0,0
Keko,A,1.32,0,0,0,0
Lucão do Break,A,3,0,0,0,0
Marcinho,A,2.66,0,0,0,0
Mike,A,3.12,0,0,0,0
Quevedo,A,1,0,0,0,0
Rafael Moura,A,8,0,0,0,0
Victor Andrade,A,5.68,0,0,0,0
Vinícius,A,1.45,0,0,0,0
Zeca,A,0.75,0,0,0,0
