Jogador,1,2,3,4
Marcelo Rangel,0,-5.4,0.5,0
Tadeu,0,0,0,-6.4
Daniel Oliveira,0,0,0.001,0
Jefferson,0,0,0,7.5
Pintado,0,-0.7,-2.2,3.8
Rodrigues,0,0,0.001,0
Yago Rocha,0,1.9,0,0
Fábio Sanches,0,4.5,0.8,4.1
Heron,0,-1.4,1,0.4
Lucão,0,0,0,0
Luiz Gustavo,0,0.001,2.4,0.2
Rafael Vaz,0,-2.9,9.4,1.9
Breno,0,3.3,5.5,2.6
Daniel Bessa,0,5.2,0.9,7.5
Gilberto,0,0,0,0
Ignacio Jara,0,0.001,0,0
Miguel Figueira,0,0.5,0,0
Ratinho,0,0,0,0.2
Sandro,0,0,0,0.3
Thalles,0,0.7,0,0
Douglas Baggio,0,4.8,2.3,0.001
Keko,0,0,0,-0.6
Lucão do Break,0,0,0,0
Marcinho,0,0,-0.9,0
Mike,0,0,0,0.4
Quevedo,0,0,0,0
Rafael Moura,0,0,0,0
Victor Andrade,0,4.8,5.4,3.1
Vinícius,0,1.6,0,0
Zeca,0,0.001,1,-4.2
