Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Paulo Victor,G,5.96,0,0,0,0
Vanderlei,G,8.34,0,0,0,0
Bruno Cortez,L,9.76,0,0,0,0
Guilherme Guedes,L,3,0,0,0,0
Orejuela,L,6.91,0,0,0,0
Victor Ferraz,L,9,0,0,0,0
David Braz,Z,7.35,0,0,0,0
Kannemann,Z,10.56,0,0,0,0
Paulo Miranda,Z,3,0,0,0,0
Pedro Geromel,Z,11.59,0,0,0,0
Rodrigues,Z,1.61,0,0,0,0
Ruan,Z,0.74,0,0,0,0
Alisson,M,10.93,0,0,0,0
Darlan,M,4.96,0,0,0,0
Jean Pyerre,M,13.81,0,0,0,0
Lucas Silva,M,4.75,0,0,0,0
Maicon,M,3.72,0,0,0,0
Matheus Henrique,M,6.61,0,0,0,0
Patrick,M,2.74,0,0,0,0
Thaciano,M,6.29,0,0,0,0
Thiago Neves,M,3.9,0,0,0,0
Diego Souza,A,10.01,0,0,0,0
Isaque,A,3.75,0,0,0,0
Pepê,A,13.22,0,0,0,0
