Jogador,1,2,3,4
Paulo Victor,0,5.1,0,0
Vanderlei,8.2,0,4.7,-3.2
Bruno Cortez,6.5,-0.8,12.4,-0.8
Guilherme Guedes,0,0,0,0
Orejuela,1.8,2.3,5.4,0.2
Victor Ferraz,0,0,0,0
David Braz,4.9,3.9,0,0.001
Kannemann,4.8,0,5.8,1.3
Paulo Miranda,0,0,0,0
Pedro Geromel,8.3,0,7.1,2.2
Rodrigues,0,0.3,0,0
Ruan,0,0.001,0,0
Alisson,2,2.1,8.3,12.5
Darlan,2,2.6,0,0
Jean Pyerre,0,0,9.5,4.3
Lucas Silva,2.4,0.001,0.8,0.7
Maicon,-1.2,0,0.9,-0.4
Matheus Henrique,0,0,-3,-0.7
Patrick,0,-0.5,0,0
Thaciano,0.3,12.7,-0.5,0.001
Thiago Neves,0.001,-0.2,0,-0.2
Diego Souza,9.6,0,-1.2,-1.2
Isaque,1,6.6,0.5,0.5
Pepê,3,8.8,5.9,10.3
