Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Danilo Fernandes,G,6,0,0,0,0
Marcelo Lomba,G,11.28,0,0,0,0
Moisés,L,10.81,0,0,0,0
Rodinei,L,5.33,0,0,0,0
Saravia,L,20.31,0,0,0,0
Bruno Fuchs,Z,8.69,0,0,0,0
Matheus Jussa,Z,2.97,0,0,0,0
Roberto,Z,2,0,0,0,0
Rodrigo Moledo,Z,6,0,0,0,0
Víctor Cuesta,Z,11.92,0,0,0,0
Boschilia,M,5.11,0,0,0,0
D'Alessandro,M,4.11,0,0,0,0
Edenilson,M,8.01,0,0,0,0
Marcos Guilherme,M,4.21,0,0,0,0
Musto,M,7.46,0,0,0,0
Nonato,M,5,0,0,0,0
Patrick,M,9.89,0,0,0,0
Peglow,M,2.76,0,0,0,0
Praxedes,M,0.75,0,0,0,0
Rodrigo Lindoso,M,5.23,0,0,0,0
Sarrafiore,M,3,0,0,0,0
Thiago Galhardo,M,14.34,0,0,0,0
Zé Gabriel,M,2.45,0,0,0,0
Paolo Guerrero,A,20.81,0,0,0,0
William Pottker,A,3.36,0,0,0,0
Yuri Alberto,A,2.16,0,0,0,0
