Jogador,1,2,3,4
Danilo Fernandes,0,0,0,0
Marcelo Lomba,4,4.6,-4.7,1.7
Moisés,8.1,3,1.5,4.4
Rodinei,0,0,0,5.3
Saravia,12.2,17.3,5.1,0
Bruno Fuchs,2.9,6.9,0,0
Matheus Jussa,0,0,0,2.4
Roberto,0,0,0,0
Rodrigo Moledo,0,0,0,0
Víctor Cuesta,4.4,8.9,-1.8,5.6
Boschilia,0.4,6.7,-2.6,0
D'Alessandro,-0.1,1,0,0
Edenilson,0,8.8,-1.1,-0.6
Marcos Guilherme,1.4,0.001,1,1.2
Musto,0,0.9,1.8,10.5
Nonato,0,0,0,0
Patrick,-1.5,5.1,2.6,5.6
Peglow,0,0,0.2,4.5
Praxedes,-1.9,0,0,0.7
Rodrigo Lindoso,0.6,0.3,9,-0.1
Sarrafiore,0,0,0,0
Thiago Galhardo,6.9,3.7,1.6,15.3
Zé Gabriel,0.5,0,2.3,1.9
Paolo Guerrero,6.5,18.7,8.4,0
William Pottker,2.3,0,0.001,-2.4
Yuri Alberto,0,0,-0.2,0
