Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Jailson,G,3.06,0,0,0,0
Weverton,G,10.23,0,0,0,0
Diogo Barbosa,L,8.95,0,0,0,0
Marcos Rocha,L,9.28,0,0,0,0
Mayke,L,7,0,0,0,0
Viña,L,7.4,0,0,0,0
Felipe Melo,Z,8,0,0,0,0
Gustavo Gomez,Z,13.4,0,0,0,0
Luan,Z,5.73,0,0,0,0
Vitor Hugo,Z,5.49,0,0,0,0
Bruno Henrique,M,7.49,0,0,0,0
Gabriel Menino,M,5.18,0,0,0,0
Gustavo Scarpa,M,6.11,0,0,0,0
Lucas Lima,M,5.24,0,0,0,0
Patrick de Paula,M,2.16,0,0,0,0
Ramires,M,6.37,0,0,0,0
Raphael Veiga,M,8.78,0,0,0,0
Zé Rafael,M,9.92,0,0,0,0
Luiz Adriano,A,10.57,0,0,0,0
Rony,A,11.34,0,0,0,0
Wesley,A,2.68,0,0,0,0
Willian,A,8.72,0,0,0,0
