Jogador,1,2,3,4
Jailson,0,-3.1,0,0
Weverton,0,0,-2.5,4.1
Diogo Barbosa,0,0,2.5,9.6
Marcos Rocha,0,0.5,3.7,5.6
Mayke,0,0,0,0
Viña,0,2.8,5.4,0
Felipe Melo,0,0,0,0
Gustavo Gomez,0,0,8.8,3.5
Luan,0,-0.6,4.3,4.5
Vitor Hugo,0,0.7,0,0
Bruno Henrique,0,-0.1,0.7,-1.3
Gabriel Menino,0,-2.9,11.2,3.9
Gustavo Scarpa,0,-1.1,0,1.1
Lucas Lima,0,0.2,-0.2,1.5
Patrick de Paula,0,-0.6,-0.7,2.5
Ramires,0,1.9,6.6,-0.1
Raphael Veiga,0,2.1,0,8.1
Zé Rafael,0,8.8,1.4,1.8
Luiz Adriano,0,8.2,2.8,1.6
Rony,0,4.2,0.4,0.8
Wesley,0,0,1.3,0
Willian,0,0.001,-1.4,0.4
