Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Julio César,G,6,0,0,0,0
Cleiton,G,1.96,0,0,0,0
Aderlan,L,10.7,0,0,0,0
Edimar,L,3.18,0,0,0,0
Luan Cândido,L,2,0,0,0,0
Weverson,L,0.75,0,0,0,0
Weverton,L,1.26,0,0,0,0
Fabrício Bruno,Z,2.44,0,0,0,0
Ligger,Z,3.94,0,0,0,0
Léo Ortiz,Z,7.25,0,0,0,0
Realpe,Z,4,0,0,0,0
Barreto,M,4.02,0,0,0,0
Bruno Tubarão,M,1.61,0,0,0,0
Lucas Evangelista,M,2.22,0,0,0,0
Matheus Jesus,M,4.88,0,0,0,0
Ricardo Ryller,M,2.89,0,0,0,0
Uillian Correia,M,4,0,0,0,0
Vitinho,M,3,0,0,0,0
Alerrandro,A,10.49,0,0,0,0
Artur,A,12.35,0,0,0,0
Claudinho,A,13.05,0,0,0,0
Luis Phelipe,A,5.66,0,0,0,0
Morato,A,3.29,0,0,0,0
Robinho,A,2.86,0,0,0,0
Ytalo,A,5.12,0,0,0,0
