Jogador,1,2,3,4
Julio César,0,0,0,0
Cleiton,-2.7,-1.8,-0.3,5.1
Aderlan,7.4,2.9,0.9,6.3
Edimar,0.6,2.8,3.7,-2.8
Luan Cândido,0,0,0,0
Weverson,-0.3,-0.2,-0.2,0.3
Weverton,0,0.001,-0.1,0
Fabrício Bruno,-0.9,-0.4,0,3.4
Ligger,0,0,2.8,0
Léo Ortiz,1.6,3.6,12.4,-0.9
Realpe,0,0,0,0
Barreto,0,0,0,0.9
Bruno Tubarão,-0.5,0.7,2.1,-0.2
Lucas Evangelista,0,0,0,-2.6
Matheus Jesus,1.9,2.7,-0.9,-0.9
Ricardo Ryller,3.1,-0.2,-1.1,0
Uillian Correia,0,0,0,0
Vitinho,0,0,0,0
Alerrandro,0.8,10.7,2.3,11.5
Artur,5.8,6.4,2.3,-1
Claudinho,7.4,6.5,3,5.4
Luis Phelipe,0,0,0,8.9
Morato,-0.4,2.3,3.4,-0.6
Robinho,-0.1,0,1.2,5.5
Ytalo,1.4,2.1,0.001,0
