Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
João Paulo,G,8.2,0,0,0,0
Vladimir,G,6.43,0,0,0,0
Felipe Jonatan,L,11.9,0,0,0,0
Madson,L,4.26,0,0,0,0
Pará,L,8.53,0,0,0,0
Alex,Z,2.48,0,0,0,0
Luan Peres,Z,6.7,0,0,0,0
Lucas Veríssimo,Z,8.09,0,0,0,0
Luiz Felipe,Z,4.39,0,0,0,0
Alison,M,10.84,0,0,0,0
Anderson Ceará,M,2,0,0,0,0
Carlos Sánchez,M,5.74,0,0,0,0
Diego Pituca,M,7.58,0,0,0,0
Ivonei,M,1.14,0,0,0,0
Jean Mota,M,4.02,0,0,0,0
Jobson,M,5.41,0,0,0,0
Sandry,M,2,0,0,0,0
Arthur Gomes,A,4,0,0,0,0
Kaio Jorge,A,4.67,0,0,0,0
Lucas Braga,A,2.23,0,0,0,0
Marcos Leonardo,A,0.75,0,0,0,0
Marinho,A,22.5,0,0,0,0
Raniel,A,6,0,0,0,0
Soteldo,A,6.04,0,0,0,0
Tailson,A,2.79,0,0,0,0
Uribe,A,3.33,0,0,0,0
