Jogador,1,2,3,4
João Paulo,0,0,1.5,21.6
Vladimir,1.2,3.9,3.7,0
Felipe Jonatan,3.4,0.5,11.3,11.8
Madson,0,-0.4,0,0
Pará,4.2,-1.5,4.4,6.4
Alex,0,0,1.5,4.8
Luan Peres,1.1,1.5,6.1,5.9
Lucas Veríssimo,3.4,-1.3,0.9,0
Luiz Felipe,0,-0.1,0,0
Alison,8.8,3.7,3.8,-1.3
Anderson Ceará,0,0,0,0
Carlos Sánchez,-3.8,4.1,2.5,1.5
Diego Pituca,1.8,0.6,4.2,3.9
Ivonei,0,0.9,0,0
Jean Mota,-0.2,0,0,3
Jobson,0,1.8,0.5,5.6
Sandry,0,0,0,0
Arthur Gomes,0,0,0,0
Kaio Jorge,1,0.2,3.8,2.7
Lucas Braga,0,0,0,3.3
Marcos Leonardo,0,0,0,-0.5
Marinho,11.7,6.2,23,13.9
Raniel,0,0,0,0
Soteldo,0.3,-0.8,10.7,0.4
Tailson,0,1.4,0.001,1.7
Uribe,0.6,0,0,0
