Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Tiago Volpi,G,16.28,0,0,0,0
Juanfran,L,7.22,0,0,0,0
Igor Vinicius,L,4.19,0,0,0,0
Léo,L,2.97,0,0,0,0
Reinaldo,L,14.36,0,0,0,0
Arboleda,Z,9.65,0,0,0,0
Bruno Alves,Z,9.28,0,0,0,0
Diego,Z,2,0,0,0,0
Daniel Alves,M,13.69,0,0,0,0
Gabriel Sara,M,1.27,0,0,0,0
Hernanes,M,10,0,0,0,0
Igor Gomes,M,3.2,0,0,0,0
Liziero,M,4.75,0,0,0,0
Luan,M,4.44,0,0,0,0
Rodrigo Nestor,M,2,0,0,0,0
Shaylon,M,3,0,0,0,0
Tchê Tchê,M,7.86,0,0,0,0
Vitor Bueno,M,7.31,0,0,0,0
Danilo Gomes,A,1,0,0,0,0
Gonzalo Carneiro,A,4.09,0,0,0,0
Helinho,A,3.4,0,0,0,0
Luciano,A,6.67,0,0,0,0
Pablo,A,7.65,0,0,0,0
Paulinho Boia,A,4.4,0,0,0,0
