Jogador,1,2,3,1
Tiago Volpi,0,12.2,-0.5,12.6
Juanfran,0,7.8,1.5,0
Igor Vinicius,0,0,0.7,-0.3
Léo,0,0,0,-0.1
Reinaldo,0,11,8.6,4.4
Arboleda,0,4.5,-3.2,3.6
Bruno Alves,0,3.7,0.001,2.8
Diego,0,0,0,0
Daniel Alves,0,16.4,1.8,1.2
Gabriel Sara,0,0.5,-0.9,-1.6
Hernanes,0,0,0,0
Igor Gomes,0,-2.1,-0.7,-0.2
Liziero,0,-1.4,1.5,2.4
Luan,0,0.001,0,0
Rodrigo Nestor,0,0,0,0
Shaylon,0,0,0,0
Tchê Tchê,0,4.9,2.8,0.4
Vitor Bueno,0,0,0,1.9
Danilo Gomes,0,0,0,0
Gonzalo Carneiro,0,0,0.001,6.8
Helinho,0,0,0.5,1.8
Luciano,0.9,0,0,9.3
Pablo,0,1.5,0.4,1.6
Paulinho Boia,0,0.5,6.6,0
