Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Luan Polli,G,6,0,0,0,0
Maílson,G,2.63,0,0,0,0
Luciano Juba,L,0.75,0,0,0,0
Patric,L,6.64,0,0,0,0
Rafael Luiz,L,1.43,0,0,0,0
Raul Prata,L,5,0,0,0,0
Sander,L,9.41,0,0,0,0
Adryelson,Z,2.39,0,0,0,0
Chico,Z,2,0,0,0,0
Iago Maidana,Z,4.97,0,0,0,0
Betinho,M,3.91,0,0,0,0
Bruninho,M,4.65,0,0,0,0
João Igor,M,2.9,0,0,0,0
Jonatan Gomez,M,12.07,0,0,0,0
Lucas Mugni,M,3.12,0,0,0,0
Philip,M,1.38,0,0,0,0
Ricardinho,M,2.34,0,0,0,0
Ronaldo Henrique,M,4,0,0,0,0
Willian Farias,M,4.21,0,0,0,0
Elton,A,13.03,0,0,0,0
Hernane,A,2.12,0,0,0,0
Leandro Barcia,A,7,0,0,0,0
Lucas Venuto,A,1.98,0,0,0,0
Marquinhos,A,5.19,0,0,0,0
Maxwell,A,2.54,0,0,0,0
Ronaldo Silva,A,0.75,0,0,0,0
