Jogador,1,2,3,4
Luan Polli,0,0,0,0
Maílson,2.5,-4.6,2.4,0.4
Luciano Juba,0,0,-0.8,-1.2
Patric,5.3,0.1,0.9,1.2
Rafael Luiz,1.4,-0.6,0,0
Raul Prata,0,0,0,0
Sander,4.3,9.1,-0.3,0.4
Adryelson,-0.1,3.1,-0.6,-3.6
Chico,0,0,0,0
Iago Maidana,1.9,-0.3,9.6,-2.5
Betinho,3.3,-0.6,0.7,0.8
Bruninho,0,4.5,3.9,1.2
João Igor,0.001,0,0,0
Jonatan Gomez,9.5,4.8,1.2,0.4
Lucas Mugni,0.3,0,0,0
Philip,0,0,0,-0.4
Ricardinho,0,0,-1.2,1.9
Ronaldo Henrique,0,0,0,0
Willian Farias,1.8,0.6,0.5,-0.1
Elton,15.6,-1.9,0.9,1.1
Hernane,0.5,-1.5,0.001,0.4
Leandro Barcia,0,0,0,0
Lucas Venuto,0,1.7,0.2,0
Marquinhos,0.8,2.7,4.3,4.5
Maxwell,1.5,0,0,0
Ronaldo Silva,0,-6,0,-1.5
