Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Fernando Miguel,G,8.15,0,0,0,0
Cayo Tenório,L,3.72,0,0,0,0
Claudio Winck,L,3.15,0,0,0,0
Henrique,L,7.6,0,0,0,0
Neto Borges,L,4.43,0,0,0,0
Yago Pikachu,L,9.06,0,0,0,0
Leandro Castán,Z,15.28,0,0,0,0
Miranda,Z,3.51,0,0,0,0
Ricardo,Z,7.55,0,0,0,0
Andrey,M,5.49,0,0,0,0
Benítez,M,8.91,0,0,0,0
Bruno César,M,5,0,0,0,0
Bruno Gomes,M,3.04,0,0,0,0
Carlinhos,M,4.5,0,0,0,0
Fellipe Bastos,M,11.93,0,0,0,0
Gabriel Pec,M,2.48,0,0,0,0
Lucas Santos,M,2.13,0,0,0,0
Marcos Júnior,M,2.65,0,0,0,0
Raul,M,7,0,0,0,0
Cano,A,12.54,0,0,0,0
Guilherme Parede,A,2.67,0,0,0,0
Ribamar,A,6.14,0,0,0,0
Talles Magno,A,9.91,0,0,0,0
Vinicius,A,4,0,0,0,0
