Jogador,1,2,3,4
Fernando Miguel,0,7.8,-2.2,3.9
Cayo Tenório,0,6.1,2.5,0
Claudio Winck,0,0,0,3
Henrique,0,10.1,-2.2,5.3
Neto Borges,0,0,-0.1,8
Yago Pikachu,0,7.1,0,0
Leandro Castán,0,6.2,3.1,7.5
Miranda,0,0,-0.2,5
Ricardo,0,4.3,2.3,6.4
Andrey,0,-1.1,6.7,4.4
Benítez,0,3.8,5.7,4.9
Bruno César,0,0,0,0
Bruno Gomes,0,-0.1,0.8,1.7
Carlinhos,0,0,0,5
Fellipe Bastos,0,19.3,-0.6,9.7
Gabriel Pec,0,1.5,0.001,0
Lucas Santos,0,-0.2,0,0
Marcos Júnior,0,-0.7,0,0
Raul,0,0,0,0
Cano,0,1.9,16.8,6.5
Guilherme Parede,0,-0.8,-0.1,0.001
Ribamar,0,0,0,8
Talles Magno,0,2.7,9.5,6.5
Vinicius,0,0,0,0
