Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Arrascaeta,M,18.54,0,0,0,0
Bruno Henrique,A,11.48,0,0,0,0
César,G,3.38,0,0,0,0
Diego,M,4.5,0,0,0,0
Diego Alves,G,10.72,0,0,0,0
Everton Ribeiro,M,7.62,0,0,0,0
Filipe Luís,L,6.56,0,0,0,0
Gabriel,A,13.46,0,0,0,0
Gabriel Batista,G,1.56,0,0,0,0
Gerson,M,9.07,0,0,0,0
Gomes,M,1.0,0,0,0,0
Guilherme Bala,A,1.0,0,0,0,0
Gustavo Henrique,Z,5.46,0,0,0,0
Hugo Souza,G,2.0,0,0,0,0
Isla,L,8.37,0,0,0,0
João Fernando,G,1.0,0,0,0,0
João Lucas,L,4.17,0,0,0,0
Lincoln,A,2.79,0,0,0,0
Léo Pereira,Z,5.24,0,0,0,0
Matheuzinho,L,2.32,0,0,0,0
Michael,A,6.56,0,0,0,0
Natan,Z,1.0,0,0,0,0
Pedro,A,3.25,0,0,0,0
Pedro Rocha,A,3.82,0,0,0,0
Pepê,M,2.0,0,0,0,0
Ramon,L,1.54,0,0,0,0
Renê,L,6.17,0,0,0,0
Rodrigo Caio,Z,8.92,0,0,0,0
Rodrigo Muniz,A,2.0,0,0,0,0
Thiago Maia,M,6.16,0,0,0,0
Thuler,Z,2.37,0,0,0,0
Vitinho,A,6.02,0,0,0,0
Willian Arão,M,8.7,0,0,0,0
