Jogador,1,2,3,4,5,6,7,8,9,10,11
Arrascaeta,4.3,-1.3,18.7,-0.2,0,0.3,23.5,3.3,2.8,0.0,0.0
Bruno Henrique,2.1,4.1,3.9,3.3,2.9,-3.7,0,0,0.0,0.0,0.0
César,0,-0.1,4.6,0,0,4.5,0,0,0.0,-4.2,0.0
Diego,0,0,-1.7,0,2.2,0.5,-2.6,-0.1,1.8,0.7,0.0
Diego Alves,5.6,-6.5,0,-2.4,-2.1,16.5,0,0,0.0,0.0,0.0
Everton Ribeiro,4.5,-0.7,1.7,1,0.9,-1.6,12.2,6.9,5.6,2.8,0.0
Filipe Luís,-4.7,3,8.5,0.001,1.8,7.5,0,0.1,8.8,0.0,0.0
Gabriel,3,2.9,3.7,6.7,12.2,12.3,0,9.9,9.5,2.5,0.0
Gabriel Batista,0,0,0,0,0,0,-2.4,2.3,-2.6,0.0,0.0
Gerson,4.3,5.4,0.1,3.9,0,-1.1,0,1.1,0.2,0.0,0.0
Gomes,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Guilherme Bala,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Gustavo Henrique,0,-0.9,0,0,0,7.3,0,1.7,0.1,1.6,0.0
Hugo Souza,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Isla,0,0,0,0,0,2.8,8.7,-0.7,-0.4,1.6,0.0
João Fernando,0,0,0,0,0,0,0,0,0.0,0.0,0.0
João Lucas,0,0,11,-3.9,0,0,0,0,0.0,0.0,0.0
Lincoln,0,0,0,0,0,0,-0.6,1,0.0,-0.4,0.0
Léo Pereira,-0.6,0.9,6.5,5.2,1.2,0,0.001,0,0.0,2.3,0.0
Matheuzinho,0,0,0,0,1.3,0,0,5,0.9,1.3,0.0
Michael,0.7,0,0,0,0,3,0.7,5,0.9,3.6,0.0
Natan,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Pedro,-3.2,-1.1,0.1,-0.5,0.001,0,20.4,3.9,0.0,0.001,0.0
Pedro Rocha,0,0,0,0,0.1,0,3.9,0.001,0.0,0.0,0.0
Pepê,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Ramon,0,0,0,0,0,0,0,0,0.001,0.0,0.0
Renê,0,0,0,2,0,5,1.7,0,0.0,6.2,0.0
Rodrigo Caio,0.7,3.7,7.1,1.5,2.8,4.4,3.8,1.2,-0.2,0.0,0.0
Rodrigo Muniz,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Thiago Maia,0,0,0,0,-0.6,1.8,0.9,0,2.6,5.5,0.0
Thuler,0,0,0,0,1.4,0,-2.6,0,0.0,0.0,0.0
Vitinho,3.3,-0.9,0,-0.5,2.2,0,1.3,0,2.6,1.7,0.0
Willian Arão,5.2,-0.2,3,0.1,0.9,-1.5,4.5,3.2,1.5,3.1,0.0
