Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
André,M,0.76,0,0,0,0
Caio Paulista,A,3.31,0,0,0,0
Calegari,L,5.21,0,0,0,0
Daniel,L,1.0,0,0,0,0
Danilo Barcelos,L,2.17,0,0,0,0
Digão,Z,4.91,0,0,0,0
Dodi,M,10.65,0,0,0,0
Egídio,L,10.22,0,0,0,0
Felippe Cardoso,A,2.33,0,0,0,0
Fernando Pacheco,A,2.46,0,0,0,0
Frazan,Z,3.0,0,0,0,0
Fred,A,2.99,0,0,0,0
Ganso,M,4.15,0,0,0,0
Guilherme,L,1.0,0,0,0,0
Hudson,M,4.97,0,0,0,0
Igor Julião,L,2.99,0,0,0,0
João Lopes,G,2.0,0,0,0,0
Luan,Z,1.0,0,0,0,0
Luccas Claro,Z,5.33,0,0,0,0
Luiz Henrique,A,2.01,0,0,0,0
Marcelo Pitaluga ,G,2.0,0,0,0,0
Marcos Felipe ,G,0.77,0,0,0,0
Marcos Paulo,A,5.33,0,0,0,0
Martinelli,M,1.0,0,0,0,0
Matheus Ferraz,Z,6.0,0,0,0,0
Matheus Pato,A,2.0,0,0,0,0
Michel Araújo ,M,6.46,0,0,0,0
Miguel,M,1.92,0,0,0,0
Muriel,G,4.17,0,0,0,0
Nascimento,M,1.0,0,0,0,0
Nenê,M,15.02,0,0,0,0
Nino,Z,3.84,0,0,0,0
Orinho,L,4.0,0,0,0,0
Pablo Dyego,A,2.0,0,0,0,0
Wellington Silva,A,3.24,0,0,0,0
Yago Felipe,M,3.43,0,0,0,0
Yuri Lima,M,1.8,0,0,0,0
