Jogador,1,2,3,4,5,6,7,8,9,10,11
André,0,0,0,0,0,0,0,0,0.0,0.0,-2.7
Caio Paulista,0,0,0,1.9,1.5,0,0,0,0.9,0.0,0.0
Calegari,0,0,0,0,10.3,-0.2,4.7,3.6,8.1,5.2,4.3
Daniel,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Danilo Barcelos,0,0,0,-4.8,1.1,0,0,0,0.0,-3.7,0.0
Digão,0,0,0,0,3.2,0,4.5,0,8.6,-0.1,0.0
Dodi,4.3,8.3,3,4.8,2,13.3,4.9,0.8,1.7,-0.3,0.0
Egídio,1.3,8.6,4.1,7.4,7.8,6.4,1.6,2.7,5.2,0.0,2.1
Felippe Cardoso,0,0,0,0,0,0,0,-0.8,0.0,0.3,1.3
Fernando Pacheco,0.5,0,0,-0.1,0,0,-0.2,-0.1,0.5,0.0,0.1
Frazan,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Fred,-0.2,-2,0,0,0,5.5,0.6,0,1.4,0.0,0.0
Ganso,0,0.001,0.4,-1.3,2.2,5.5,0,-0.6,0.0,-0.5,2.9
Guilherme,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Hudson,0,0,0,0,0,1.8,-2.6,0,0.0,4.4,0.8
Igor Julião,-1,2.9,3.7,5.4,0,-2.9,0,0,0.0,0.0,0.0
João Lopes,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Luan,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Luccas Claro,1.6,3.6,4.2,1.1,3.3,0.4,0,-0.3,3.5,0.8,-0.6
Luiz Henrique,0,1,0.9,0.001,-0.1,0,1.5,3.6,0.2,0.8,2.7
Marcelo Pitaluga ,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Marcos Felipe ,0,0,0,0,0,-2.1,0.3,-2.1,0.0,0.0,0.0
Marcos Paulo,0.7,6.9,-1,1.7,2,0.2,0.5,0.2,-0.1,0.6,0.7
Martinelli,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Matheus Ferraz,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Matheus Pato,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Michel Araújo ,0.8,5.1,2,4.9,5.9,3.2,4.5,2.5,1.4,1.2,0.0
Miguel,0.3,0,0,0,0,0,0,0,0.0,0.0,0.4
Muriel,0.8,-3.4,-2.9,-1,11.9,0,0,0,3.8,1.1,1.7
Nascimento,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Nenê,3.5,0.2,16.9,7,0,2.9,5.7,4.8,-0.1,16.5,0.0
Nino,2.1,1.3,-1.8,0.6,0,0.2,-2.4,0.7,0.0,1.6,2.3
Orinho,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Pablo Dyego,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Wellington Silva,0.3,-1,-0.1,0,1.1,-1.5,0,13,0.8,3.0,-0.2
Yago Felipe,0.5,-0.7,0.001,0,0.001,0,3.1,0,4.8,1.8,2.1
Yuri Lima,-1.6,0,-0.8,1.1,3.2,-1.5,0,4.1,2.1,0.0,0.0
