Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Bruno Melo,L,3.92,0,0,0,0
Carlinhos,L,6.74,0,0,0,0
David,A,2.85,0,0,0,0
Derley,M,2.82,0,0,0,0
Diguinho,Z,2.0,0,0,0,0
Edson Cariús,A,3.21,0,0,0,0
Felipe,M,6.53,0,0,0,0
Felipe Alves,G,3.75,0,0,0,0
Fragapane,A,1.98,0,0,0,0
Gabriel Dias,L,5.76,0,0,0,0
Geilson,M,1.0,0,0,0,0
Gustavo Coutinho,A,1.0,0,0,0,0
Jackson,Z,4.28,0,0,0,0
Juninho,M,2.45,0,0,0,0
Luiz Henrique,M,1.66,0,0,0,0
Marcelo Boeck,G,4.0,0,0,0,0
Mariano Vázquez,M,1.19,0,0,0,0
Marlon,M,3.23,0,0,0,0
Max Walef,G,2.0,0,0,0,0
Nenê Bonilha,M,3.0,0,0,0,0
Osvaldo,A,5.67,0,0,0,0
Paulão,Z,3.64,0,0,0,0
Quintero,Z,2.72,0,0,0,0
Roger Carvalho,Z,4.0,0,0,0,0
Romarinho,A,8.72,0,0,0,0
Ronald,M,2.4,0,0,0,0
Sammuel,L,1.0,0,0,0,0
Tiago Orobó,A,1.7,0,0,0,0
Tinga,L,6.93,0,0,0,0
Wellington Paulista,A,7.78,0,0,0,0
Yuri César ,A,4.48,0,0,0,0
Éderson,A,2.59,0,0,0,0
