Jogador,1,2,3,4,5,6,7,8,9,10,11
Bruno Melo,-1.7,1.1,5,7.8,1.3,4.3,-0.5,0,0.0,-0.1,0.0
Carlinhos,0,0.001,8.4,0,0,0,0,-0.8,6.2,-1.2,6.4
David,0.2,0.6,1,1,1.5,5.2,-1.6,-0.1,-1.2,0.001,0.1
Derley,1.8,0,0,0,0,0,0,0,0.0,-2.5,0.0
Diguinho,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Edson Cariús,0,0,0.7,0,0,0,0,0,0.0,0.0,0.0
Felipe,-1,3,3.4,3.6,7.2,0.7,4.4,0.9,-3.5,0.0,10.3
Felipe Alves,-3.5,2,4.8,-3.2,0.7,3.7,4.6,2,4.7,1.4,4.0
Fragapane,0,-0.6,0,1.3,0,0.4,-0.4,-0.2,0.0,0.0,2.4
Gabriel Dias,0,0.9,9.7,-1,0.1,9.3,-0.5,1.5,5.8,-4.0,0.0
Geilson,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Gustavo Coutinho,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Jackson,0.4,0.9,0,2.1,-0.9,5.4,0,0,0.0,0.0,6.2
Juninho,-1.2,-0.3,-1.4,2,1.4,0,3.2,7.6,2.1,9.2,-3.9
Luiz Henrique,0,0,0,0,0,0,0,0,0.0,0.5,0.0
Marcelo Boeck,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Mariano Vázquez,0,0.001,-0.5,0,0.001,0,-3.1,0.3,0.0,0.0,0.0
Marlon,0.9,0,0,0,0,-0.4,0,-1.2,-0.5,2.5,4.0
Max Walef,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Nenê Bonilha,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Osvaldo,1,-0.1,1.4,9.4,-0.3,0.6,-0.4,4.4,-1.3,8.7,2.3
Paulão,-2.4,-0.6,4.3,0.5,0.3,5.4,-0.6,4.5,4.3,-0.4,6.9
Quintero,-4.6,0,6.2,-0.7,0,4.5,0.4,-0.2,4.5,-0.6,4.9
Roger Carvalho,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Romarinho,3.2,4.4,2.3,3.8,9.2,10.9,0.4,1.4,0.3,0.3,2.9
Ronald,0,0,0,1.9,0,0,0,4,-3.0,2.7,2.5
Sammuel,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Tiago Orobó,-0.7,0,0,0,0.8,0,0.001,0,1.9,0.0,0.001
Tinga,0.9,1.9,0,6.1,0,7.1,0,0,7.7,0.0,0.0
Wellington Paulista,0.5,-0.1,0.1,9.7,5.8,16.7,0.7,-2.2,10.3,-1.2,0.6
Yuri César ,-0.1,-0.1,0.6,14.1,4,4,0.7,0,1.0,0.001,0.7
Éderson,0,0,0,0,0,-1,0,-0.6,0.0,0.0,0.0
