Jogador,Posição,Preço,Pontuação Total,Partidas,Média,Média por C$
Breno,M,3.98,0,0,0,0
Caju,L,4.12,0,0,0,0
Daniel Bessa,M,6.8,0,0,0,0
Daniel Oliveira,L,2.15,0,0,0,0
David Duarte,Z,4.47,0,0,0,0
Douglas Baggio,A,4.06,0,0,0,0
Edílson,L,6.36,0,0,0,0
Filipe Trindade,M,2.0,0,0,0,0
Fábio Sanches,Z,5.74,0,0,0,0
Gilberto,M,2.72,0,0,0,0
Henrique Almeida,A,5.0,0,0,0,0
Henrique Lordelo,M,1.0,0,0,0,0
Heron,Z,0.75,0,0,0,0
Ignacio Jara ,M,2.93,0,0,0,0
Jefferson,L,5.15,0,0,0,0
Kaio,M,3.0,0,0,0,0
Keko ,A,2.29,0,0,0,0
Lucão,Z,3.0,0,0,0,0
Lucão do Break,A,3.0,0,0,0,0
Marcelo Rangel,G,0.77,0,0,0,0
Matheus Alves,G,1.0,0,0,0,0
Miguel Figueira,M,1.38,0,0,0,0
Mike,A,3.01,0,0,0,0
Pintado,L,2.78,0,0,0,0
Quevedo,A,0.85,0,0,0,0
Rafael Moura,A,5.23,0,0,0,0
Rafael Vaz,Z,5.7,0,0,0,0
Ratinho,M,1.67,0,0,0,0
Rezende,M,1.0,0,0,0,0
Rodrigues,L,1.48,0,0,0,0
Sandro,M,3.12,0,0,0,0
Tadeu,G,8.78,0,0,0,0
Thalles,M,3.27,0,0,0,0
Victor Andrade,A,5.36,0,0,0,0
Vidal,L,2.0,0,0,0,0
Vinícius,A,5.78,0,0,0,0
Walisson Pequeno,M,2.0,0,0,0,0
Yago Rocha,L,3.06,0,0,0,0
Zeca,A,0.75,0,0,0,0
